subdomain,ip,source
2ac23f9-mattermost.prebuilt-app.bizflycloud.vn,45.124.95.15,hackertarget
606d29a69f57cb35c58cebf3.wifimkt.bizflycloud.vn,103.148.57.196,alienvault
601366a988629e09a3e554fe.wifimkt.bizflycloud.vn,103.148.57.196,alienvault
staging-api.cdn.bizflycloud.vn,45.124.93.75,leakix
mirror.bizflycloud.vn,103.107.181.186,hackertarget
6077f7bf1743cbd05169e741.wifimkt.bizflycloud.vn,103.148.57.196,crtsh
bizfly-smtp-relay-46.bizflycloud.vn,123.31.8.110,hackertarget
60769078119ff4747e97a6fd.wifimkt.bizflycloud.vn,103.148.57.196,alienvault
8d0b927-bigbluebutton.prebuilt-app.bizflycloud.vn,45.124.94.48,hackertarget
60af3224db1748215c813f21.wifimkt.bizflycloud.vn,103.148.57.196,crtsh
f40ec5d-redmine.prebuilt-app.bizflycloud.vn,103.107.183.71,rapiddns
607fe74ad0eb92f1d843c1b4.wifimkt.bizflycloud.vn,103.148.57.196,alienvault
0ec4d59-openvpn.prebuilt-app.bizflycloud.vn,103.69.193.161,hackertarget
4c8a0cf-redmine.prebuilt-app.bizflycloud.vn,103.56.157.86,hackertarget
be48f31-moodle.prebuilt-app.bizflycloud.vn,45.124.94.34,rapiddns
53c263c-nextcloud.prebuilt-app.bizflycloud.vn,103.107.183.109,hackertarget
5327daf-clearos.prebuilt-app.bizflycloud.vn,45.124.94.228,hackertarget
21ffb44-cwp.prebuilt-app.bizflycloud.vn,45.124.94.170,alienvault
836182a-cwp.prebuilt-app.bizflycloud.vn,103.153.74.172,rapiddns
91cb0a8-mattermost.prebuilt-app.bizflycloud.vn,103.107.183.127,rapiddns
4f6d37b-magento.prebuilt-app.bizflycloud.vn,45.124.94.170,alienvault
123e541-nextcloud.prebuilt-app.bizflycloud.vn,103.153.73.18,alienvault
fileadmicro.drive.bizflycloud.vn,123.31.11.240,rapiddns
7f08d39-nextcloud.prebuilt-app.bizflycloud.vn,45.124.95.164,hackertarget
4b5c533-cwp.prebuilt-app.bizflycloud.vn,103.153.73.9,rapiddns
61b8d4e-magento.prebuilt-app.bizflycloud.vn,103.153.74.161,hackertarget
046eaae-openvpn.prebuilt-app.bizflycloud.vn,14.225.27.208,hackertarget
14ef891-jitsi.prebuilt-app.bizflycloud.vn,103.56.156.73,hackertarget
bc8dc59-openvpn.prebuilt-app.bizflycloud.vn,103.56.158.24,crtsh
thosim.ss-hn-1.bizflycloud.vn,103.107.180.241,waybackarchive
1019f39-openvpn.prebuilt-app.bizflycloud.vn,103.56.158.228,hackertarget
6099d0a823d7b3f599221888.wifimkt.bizflycloud.vn,103.148.57.196,crtsh
ns2.bizflycloud.vn,210.211.126.73,hackertarget
da4707c-jitsi.prebuilt-app.bizflycloud.vn,103.56.158.253,rapiddns
capt-se165.bizflycloud.vn,103.69.195.21,hackertarget
15024db-sentry.prebuilt-app.bizflycloud.vn,103.56.158.104,rapiddns
13a066d-cwp.prebuilt-app.bizflycloud.vn,103.107.182.221,hackertarget
a6b1c64-cwp.prebuilt-app.bizflycloud.vn,103.109.43.99,hackertarget
4e3e7b0-nextcloud.prebuilt-app.bizflycloud.vn,45.124.94.156,alienvault
bizfly-smtp-relay-32.bizflycloud.vn,103.153.71.32,hackertarget
e1c3ffb-clearos.prebuilt-app.bizflycloud.vn,45.124.95.186,rapiddns
608a5f6722ec27b9b8fac2c7.wifimkt.bizflycloud.vn,103.148.57.196,alienvault
1d9b703-jitsi.prebuilt-app.bizflycloud.vn,103.153.74.124,hackertarget
7f89da9-magento.prebuilt-app.bizflycloud.vn,103.153.73.27,hackertarget
b6e83f1-nextcloud.prebuilt-app.bizflycloud.vn,103.56.158.16,rapiddns
aa52bd1-openvpn.prebuilt-app.bizflycloud.vn,103.153.73.209,alienvault
49d458e-sentry.prebuilt-app.bizflycloud.vn,103.148.57.105,hackertarget
f829f61-bigbluebutton.prebuilt-app.bizflycloud.vn,45.124.94.46,rapiddns
4728426-cwp.prebuilt-app.bizflycloud.vn,103.56.156.17,crtsh
ns4.bizflycloud.vn,42.112.37.60,hackertarget
8efbd9c-magento.prebuilt-app.bizflycloud.vn,103.153.73.184,rapiddns
