Domain,IP,Status
ns6.synerfy.vn..admicro.vn,169.62.159.227,Die
ns7.synerfy.vn..admicro.vn,123.30.51.247,Die
ns8.synerfy.vn..admicro.vn,210.245.87.125,Die
abm.admicro.vn,123.30.151.80,200
accounting.admicro.vn,123.30.151.80,200
admarket.admicro.vn,123.30.151.80,200
dev.admarket.admicro.vn,123.30.151.80,503
analytics.admicro.vn,123.30.151.80,200
dev.analytics.admicro.vn,123.30.151.81,200
banner.admicro.vn,14.225.10.11,200
banners.admicro.vn,123.30.151.80,200
booking.admicro.vn,123.30.151.80,200
boxapp.admicro.vn,123.30.151.80,200
cp.admicro.vn,123.30.151.80,200
crm.admicro.vn,123.30.151.80,200
demo.admicro.vn,123.30.151.80,200
erp.admicro.vn,123.30.151.80,200
hd.admicro.vn,123.30.151.80,404
hopdong.admicro.vn,123.30.151.80,200
hr.admicro.vn,123.30.151.80,404
in.admicro.vn,123.30.151.80,200
hd.logging.admicro.vn,222.255.27.200,Die
i11.logging.admicro.vn,222.255.27.200,Die
mb.logging.admicro.vn,123.30.170.28,Die
ps.logging.admicro.vn,222.255.27.197,Die
testing.logging.admicro.vn,222.255.27.171,Die
wq.logging.admicro.vn,222.255.27.203,Die
paste.admicro.vn,123.30.151.80,200
publisher.admicro.vn,123.30.151.80,200
sale.admicro.vn,123.30.151.80,404
thucchay.admicro.vn,123.30.151.80,200
tuyendung.admicro.vn,123.30.151.80,200
videotracking.admicro.vn,123.30.151.80,200
www.admicro.vn,123.30.151.80,200
dl.logging.admicro.vn,222.255.27.214,Die
sync.admicro.vn,103.69.195.158,200
mail.sync.admicro.vn,222.255.27.37,Die
lg.logging.admicro.vn,123.30.151.70,404
sysinfo.admicro.vn,123.30.151.80,503
cpd.admicro.vn,123.30.151.80,200
mail.adx.admicro.vn,103.92.34.122,Die
monitor.admicro.vn,123.30.151.81,503
dev.publisher.admicro.vn,123.30.151.80,503
atp.admicro.vn,123.30.151.80,200
webapi.admicro.vn,123.30.151.80,200
afp.admicro.vn,123.30.151.80,200
contentmarketing.admicro.vn,123.30.151.80,200
bi.admicro.vn,222.255.27.27,200
bb.admicro.vn,123.30.151.80,404
pson.logging.admicro.vn,123.30.151.70,404
pson.logging.admicro.vn,123.30.151.70,404
