Domain,IP,Status
ns6.synerfy.vn..aiservice.vn,169.62.159.227,Die
ns7.synerfy.vn..aiservice.vn,123.30.51.247,Die
ns8.synerfy.vn..aiservice.vn,210.245.87.125,Die
beta.nspapi.aiservice.vn,222.255.27.27,503
video.aiservice.vn,123.30.151.80,503
boxpr.aiservice.vn,123.30.151.80,digitorus
computervision.aiservice.vn,123.30.151.81,leakix
nlp.aiservice.vn,123.30.151.81,leakix
speech.aiservice.vn,123.30.151.80,alienvault
newstesting.aiservice.vn,222.255.27.27,digitorus
nspapi.aiservice.vn,123.30.151.80,digitorus
news-stream.aiservice.vn,123.30.151.124,alienvault
log.aiservice.vn,123.30.151.88,alienvault
rec.aiservice.vn,14.225.10.11,waybackarchive
recsys.aiservice.vn,123.30.151.81,alienvault
news.aiservice.vn,123.30.151.124,alienvault
snews.aiservice.vn,123.30.151.81,digitorus
lio.aiservice.vn,123.30.151.124,leakix
js.aiservice.vn,14.225.10.2,waybackarchive
pega.aiservice.vn,123.30.151.79,alienvault
