Domain,IP,Status
ns6.synerfy.vn..channelvn.net,169.62.159.227,Die
ns7.synerfy.vn..channelvn.net,123.30.51.247,Die
ns8.synerfy.vn..channelvn.net,210.245.87.125,Die
a1.channelvn.net,222.255.27.180,404
a11.channelvn.net,222.255.27.180,404
a12.channelvn.net,222.255.27.180,404
a13.channelvn.net,222.255.27.180,404
a14.channelvn.net,222.255.27.180,404
a15.channelvn.net,222.255.27.180,404
a16.channelvn.net,222.255.27.180,404
a17.channelvn.net,222.255.27.180,404
a19.channelvn.net,222.255.27.180,404
a2.channelvn.net,222.255.27.180,404
a3.channelvn.net,222.255.27.180,404
a4.channelvn.net,222.255.27.180,404
a5.channelvn.net,222.255.27.180,503
a6.channelvn.net,222.255.27.180,404
a7.channelvn.net,222.255.27.180,404
a8.channelvn.net,222.255.27.180,404
a9.channelvn.net,222.255.27.180,404
api.channelvn.net,222.255.27.179,404
reporting.autopro.channelvn.net,222.255.27.195,503
b1.channelvn.net,222.255.27.180,404
b11.channelvn.net,222.255.27.180,404
b12.channelvn.net,222.255.27.180,404
b13.channelvn.net,222.255.27.180,404
b14.channelvn.net,222.255.27.180,404
b15.channelvn.net,222.255.27.180,404
b2.channelvn.net,222.255.27.180,404
b3.channelvn.net,222.255.27.180,404
b4.channelvn.net,222.255.27.180,404
b5.channelvn.net,222.255.27.180,404
b6.channelvn.net,222.255.27.180,404
b7.channelvn.net,222.255.27.180,404
b8.channelvn.net,222.255.27.180,404
b9.channelvn.net,222.255.27.180,404
c1.channelvn.net,222.255.27.195,503
c2.channelvn.net,222.255.27.195,503
c3.channelvn.net,222.255.27.195,503
c4.channelvn.net,222.255.27.195,503
c5.channelvn.net,222.255.27.180,200
c6.channelvn.net,222.255.27.195,503
c7.channelvn.net,222.255.27.195,503
c8.channelvn.net,222.255.27.195,503
c9.channelvn.net,222.255.27.195,503
cms2.channelvn.net,222.255.27.83,404
cms3.channelvn.net,222.255.27.83,404
cms4.channelvn.net,222.255.27.83,404
cms5.channelvn.net,222.255.27.83,404
cms6.channelvn.net,222.255.27.83,404
ctr.channelvn.net,222.255.27.179,404
dev.channelvn.net,172.16.41.87,Die
reporting.gamek.channelvn.net,222.255.27.195,503
reporting.genk.channelvn.net,222.255.27.195,503
logquizz.channelvn.net,222.255.27.179,503
m.channelvn.net,222.255.27.180,502
m1.channelvn.net,222.255.27.180,404
m11.channelvn.net,222.255.27.180,404
m12.channelvn.net,222.255.27.180,404
m13.channelvn.net,222.255.27.180,404
m14.channelvn.net,222.255.27.180,404
m15.channelvn.net,222.255.27.180,404
m16.channelvn.net,222.255.27.180,404
m17.channelvn.net,222.255.27.180,404
m19.channelvn.net,222.255.27.180,404
m2.channelvn.net,222.255.27.180,404
m3.channelvn.net,222.255.27.180,404
m4.channelvn.net,222.255.27.180,404
m5.channelvn.net,222.255.27.180,404
m6.channelvn.net,222.255.27.180,404
m7.channelvn.net,222.255.27.180,404
m8.channelvn.net,222.255.27.180,404
m9.channelvn.net,222.255.27.180,404
pr.channelvn.net,222.255.27.156,404
api.pr.channelvn.net,222.255.27.195,503
weather.channelvn.net,222.255.27.179,404
adtech.channelvn.net,222.255.27.156,404
s1.channelvn.net,222.255.27.104,404
s3.channelvn.net,222.255.27.104,404
s4.channelvn.net,222.255.27.104,404
s5.channelvn.net,222.255.27.104,404
s6.channelvn.net,222.255.27.104,404
s7.channelvn.net,222.255.27.104,404
s8.channelvn.net,222.255.27.104,404
s9.channelvn.net,222.255.27.104,404
s12.channelvn.net,222.255.27.104,404
s13.channelvn.net,222.255.27.104,404
s14.channelvn.net,222.255.27.104,404
s15.channelvn.net,222.255.27.104,404
s16.channelvn.net,222.255.27.104,404
s17.channelvn.net,222.255.27.104,404
s18.channelvn.net,222.255.27.104,404
s19.channelvn.net,222.255.27.104,404
s21.channelvn.net,222.255.27.104,404
s22.channelvn.net,222.255.27.104,404
s23.channelvn.net,222.255.27.104,404
s24.channelvn.net,222.255.27.104,404
s25.channelvn.net,222.255.27.104,404
s26.channelvn.net,222.255.27.104,404
s27.channelvn.net,222.255.27.104,404
s28.channelvn.net,222.255.27.104,404
s29.channelvn.net,222.255.27.104,404
suthiet.channelvn.net,222.255.27.180,404
n1.channelvn.net,222.255.27.104,404
n2.channelvn.net,222.255.27.104,404
n3.channelvn.net,222.255.27.104,404
n4.channelvn.net,222.255.27.104,404
n5.channelvn.net,222.255.27.104,404
n6.channelvn.net,222.255.27.104,404
n7.channelvn.net,222.255.27.104,404
n8.channelvn.net,222.255.27.104,404
n9.channelvn.net,222.255.27.104,404
n11.channelvn.net,222.255.27.104,404
n12.channelvn.net,222.255.27.104,404
n13.channelvn.net,222.255.27.104,404
n14.channelvn.net,222.255.27.104,404
n15.channelvn.net,222.255.27.104,404
n16.channelvn.net,222.255.27.104,404
n17.channelvn.net,222.255.27.104,404
n18.channelvn.net,222.255.27.104,404
n19.channelvn.net,222.255.27.104,404
layout.pr.channelvn.net,222.255.27.156,403
apis.pr.channelvn.net,222.255.27.156,403
log.cafebiz.channelvn.net,222.255.27.195,404
ims92.channelvn.net,222.255.27.195,503
log2.channelvn.net,222.255.27.195,503
cms.tag.channelvn.net,222.255.27.195,404
api.tag.channelvn.net,222.255.27.195,404
thoitiet.vtv.channelvn.net,172.16.41.21,Die
cms1.channelvn.net,222.255.27.83,503
tag1.channelvn.net,172.16.41.99,Die
tag2.channelvn.net,172.16.41.99,Die
tag3.channelvn.net,172.16.41.99,Die
tag4.channelvn.net,222.255.27.192,404
tag5.channelvn.net,222.255.27.192,404
dataservice.pega.channelvn.net,222.255.27.104,403
api1.channelvn.net,222.255.27.179,403
w1.channelvn.net,222.255.27.156,404
log.mask.channelvn.net,222.255.27.195,503
crawler.vtv.channelvn.net,172.16.41.21,Die
w2.channelvn.net,222.255.27.156,404
svn2.channelvn.net,222.255.27.195,503
realtimeims.channelvn.net,222.255.27.192,503
m.pr.channelvn.net,222.255.27.83,404
logscafef.channelvn.net,222.255.27.195,404
e1.channelvn.net,222.255.27.180,404
e2.channelvn.net,222.255.27.180,404
e3.channelvn.net,222.255.27.180,404
e4.channelvn.net,222.255.27.180,404
e5.channelvn.net,222.255.27.180,404
e6.channelvn.net,222.255.27.180,404
e7.channelvn.net,222.255.27.180,404
e8.channelvn.net,222.255.27.180,404
e9.channelvn.net,222.255.27.180,404
e11.channelvn.net,222.255.27.180,200
e12.channelvn.net,222.255.27.180,404
e13.channelvn.net,222.255.27.180,404
e14.channelvn.net,222.255.27.180,404
e15.channelvn.net,222.255.27.180,404
e16.channelvn.net,222.255.27.180,404
e17.channelvn.net,222.255.27.180,404
e18.channelvn.net,222.255.27.180,404
e19.channelvn.net,222.255.27.180,404
logdevice.channelvn.net,222.255.27.195,503
readervtv.channelvn.net,222.255.27.180,403
interactive.channelvn.net,222.255.27.195,200
quizzbtv.channelvn.net,222.255.27.83,404
vtvapi.channelvn.net,222.255.27.104,503
phapche.channelvn.net,222.255.27.179,404
bk.cmsk14.channelvn.net,222.255.27.83,503
bk.cmsaf.channelvn.net,222.255.27.83,503
bk.cmsjam.channelvn.net,222.255.27.83,503
bk.cmsjqk.channelvn.net,222.255.27.83,503
bk.pr.channelvn.net,222.255.27.83,503
bk.cmsvne.channelvn.net,222.255.27.83,503
bk.nbvne.channelvn.net,222.255.27.83,503
bk.cmsmask.channelvn.net,222.255.27.83,503
bk.ims1.channelvn.net,222.255.27.83,503
bk.ims2.channelvn.net,222.255.27.83,503
bk.ims3.channelvn.net,222.255.27.83,503
bk.ims4.channelvn.net,222.255.27.83,503
bk.ims5.channelvn.net,222.255.27.83,503
cmsk14.channelvn.net,222.255.27.83,404
cmsaf.channelvn.net,222.255.27.83,503
apinews.vtv.channelvn.net,222.255.27.104,503
api2k.channelvn.net,222.255.27.179,404
gd.channelvn.net,222.255.27.179,503
skds.channelvn.net,222.255.27.179,503
vne.channelvn.net,222.255.27.179,503
bttk14.channelvn.net,222.255.27.108,503
bttaf.channelvn.net,222.255.27.108,404
bttmask.channelvn.net,222.255.27.108,503
imsk14.channelvn.net,222.255.27.156,503
ctv6236cvt14.channelvn.net,222.255.27.156,503
btvdhd12.channelvn.net,222.255.27.165,503
log3.channelvn.net,222.255.27.83,503
static1.channelvn.net,222.255.27.83,503
static2.channelvn.net,222.255.27.83,503
static3.channelvn.net,222.255.27.83,503
static4.channelvn.net,222.255.27.83,503
camnang.channelvn.net,222.255.27.180,404
dpc.cafebiz.channelvn.net,222.255.27.192,404
cafebiz1.channelvn.net,222.255.27.83,503
soha1.channelvn.net,222.255.27.83,503
testcache.channelvn.net,222.255.27.83,503
regwidget.channelvn.net,222.255.27.83,200
crawler1.channelvn.net,222.255.27.108,403
tags1.channelvn.net,222.255.27.192,404
utils1.channelvn.net,222.255.27.108,403
imsgenk.channelvn.net,222.255.27.83,503
genk1.channelvn.net,222.255.27.83,200
afamily.channelvn.net,222.255.27.180,404
soha.channelvn.net,222.255.27.180,404
gamek.channelvn.net,222.255.27.180,404
genk.channelvn.net,222.255.27.180,404
autopro.channelvn.net,222.255.27.180,404
cafef.channelvn.net,222.255.27.180,404
cafebiz.channelvn.net,222.255.27.180,404
giadinh.channelvn.net,222.255.27.180,404
vneconomy.channelvn.net,222.255.27.180,503
nld.channelvn.net,222.255.27.180,404
dantri.channelvn.net,222.255.27.180,503
vtv.channelvn.net,222.255.27.180,503
m.kenh14.channelvn.net,222.255.27.180,404
m.afamily.channelvn.net,222.255.27.180,404
m.soha.channelvn.net,222.255.27.180,404
m.gamek.channelvn.net,222.255.27.180,404
m.genk.channelvn.net,222.255.27.180,404
m.autopro.channelvn.net,222.255.27.180,404
m.cafef.channelvn.net,222.255.27.180,404
m.giadinh.channelvn.net,222.255.27.180,404
m.vneconomy.channelvn.net,222.255.27.180,503
m.nld.channelvn.net,222.255.27.180,404
m.dantri.channelvn.net,222.255.27.180,503
m.vtv.channelvn.net,222.255.27.180,404
