Domain,IP,Status
ns6.synerfy.vn..cnht.vn,169.62.159.227,Die
ns7.synerfy.vn..cnht.vn,123.30.51.247,Die
ns8.synerfy.vn..cnht.vn,210.245.87.125,Die
ganglia.cnht.vn,222.255.27.170,503
oauth2.cnht.vn,222.255.27.170,503
s2.cnht.vn,123.30.247.23,Die
s3.cnht.vn,222.255.27.17,200
s4.cnht.vn,123.30.170.17,Die
s5.cnht.vn,123.30.242.8,Die
s6.cnht.vn,123.30.234.16,200
s7.cnht.vn,123.31.11.5,Die
s8.cnht.vn,103.56.159.186,Die
s11.cnht.vn,210.211.126.91,Die
blog.cnht.vn,222.255.27.170,503
rack.cnht.vn,123.30.151.100,200
lichtruc.cnht.vn,222.255.27.83,503
s13.cnht.vn,123.30.215.23,200
indexer.log.cnht.vn,192.168.6.41,Die
chat.cnht.vn,222.255.27.170,503
metrics.cnht.vn,10.3.17.52,Die
email.cnht.vn,45.124.93.15,Die
s14.cnht.vn,42.112.37.24,Die
vtv6.cnht.vn,103.69.194.113,Die
cnndfwd.log.cnht.vn,103.69.194.113,Die
s15.cnht.vn,103.56.157.55,200
s16.cnht.vn,103.56.156.97,200
s17.cnht.vn,103.56.158.214,200
s18.cnht.vn,123.31.11.81,Die
s22.cnht.vn,45.124.94.190,Die
quota.cnht.vn,103.69.194.113,Die
nagios-hcm.cnht.vn,222.255.239.84,401
iredmail.cnht.vn,103.69.194.140,Die
testmail.cnht.vn,103.69.194.140,Die
cpucorewannps.cnht.vn,192.168.3.22,Die
cpucorelannps.cnht.vn,192.168.3.23,Die
cpucorewanfpt.cnht.vn,172.17.1.34,Die
s23.cnht.vn,103.69.195.168,404
indexers.log.cnht.vn,10.5.52.91,Die
mail.svr.cnht.vn,103.69.194.53,403
cactiv2.cnht.vn,103.69.194.135,Die
ipmi.cnht.vn,192.168.6.199,Die
suckhoehangngays.cnht.vn,123.30.151.84,503
ipmi-hapu.cnht.vn,192.168.50.30,Die
mntspl.cnht.vn,10.5.52.240,Die
network.cnht.vn,14.225.10.3,503
api-networkbandwidth.cnht.vn,14.225.10.3,503
ha-nps.cnht.vn,123.30.151.82,503
ha-ntl.cnht.vn,14.225.10.15,503
ha-hcm.cnht.vn,222.255.239.70,503
check-network.cnht.vn,123.30.151.100,200
kaposvr.cnht.vn,123.30.151.100,200
integram.cnht.vn,123.30.151.100,404
sentry.cnht.vn,45.124.93.15,digitorus
git.cnht.vn,172.31.4.59,alienvault
graph.cnht.vn,123.30.151.100,alienvault
owncloud.cnht.vn,45.124.93.233,digitorus
domain.cnht.vn,172.31.4.59,rapiddns
log.cnht.vn,10.5.52.30,digitorus
speedtest-hcm.cnht.vn,123.30.215.37,leakix
ham.cnht.vn,123.30.151.100,alienvault
svr.cnht.vn,172.31.4.59,rapiddns
api.cnht.vn,103.69.194.171,rapiddns
speedtest.cnht.vn,123.30.170.22,alienvault
cacti.cnht.vn,123.30.151.100,digitorus
gang.cnht.vn,45.124.93.15,rapiddns
dcrun.cnht.vn,103.69.193.218,alienvault
trace.cnht.vn,123.30.151.100,rapiddns
ldap.cnht.vn,45.124.93.15,digitorus
registry.cnht.vn,45.124.93.15,digitorus
nagios.cnht.vn,123.30.151.100,digitorus
central.cnht.vn,45.124.93.15,digitorus
thongke.cnht.vn,123.30.151.100,rapiddns
mail.cnht.vn,103.107.181.48,rapiddns
jenkin.cnht.vn,45.124.93.15,digitorus
obser.cnht.vn,123.30.151.100,alienvault
doc.cnht.vn,45.124.93.15,rapiddns
vpn.cnht.vn,103.69.194.113,digitorus
ha.cnht.vn,123.30.151.100,digitorus
monitor.cnht.vn,123.30.151.100,alienvault
smtp.cnht.vn,103.69.194.113,digitorus
le.cnht.vn,123.30.151.100,leakix
halog.cnht.vn,103.69.195.237,leakix
conference.cnht.vn,222.255.27.21,alienvault
cas.cnht.vn,123.30.151.100,digitorus
grafana.cnht.vn,14.225.10.3,alienvault
ticket.cnht.vn,45.124.93.15,digitorus
wifi.cnht.vn,113.161.70.168,alienvault
obser2.cnht.vn,123.30.151.100,alienvault
wiki.cnht.vn,123.30.151.100,rapiddns
gitlab.cnht.vn,103.69.194.113,digitorus
netstat.cnht.vn,192.168.6.199,alienvault
nagios2-ntl.cnht.vn,123.30.151.100,digitorus
