Domain,IP,Status
ns6.synerfy.vn..cnnd.vn,169.62.159.227,Die
ns7.synerfy.vn..cnnd.vn,123.30.51.247,Die
ns8.synerfy.vn..cnnd.vn,210.245.87.125,Die
svn1.cnnd.vn,123.30.151.84,503
imsapi.cnnd.vn,222.255.27.222,503
api2k.cnnd.vn,123.30.151.84,403
shm.cnnd.vn,123.30.151.84,200
tag1.cnnd.vn,123.30.151.84,403
chkdup.cnnd.vn,123.30.151.84,404
tagcloud.cnnd.vn,123.30.151.84,404
tuyendungvc.cnnd.vn,123.30.151.84,503
api1.ims2.cnnd.vn,222.255.27.222,200
upload6.cnnd.vn,192.168.6.203,Die
sig1.cnnd.vn,222.255.27.66,404
sig3.cnnd.vn,222.255.27.66,400
sig4.cnnd.vn,222.255.27.66,503
sig5.cnnd.vn,222.255.27.66,404
static2.cnnd.vn,222.255.27.66,503
imsbeta.cnnd.vn,222.255.27.66,503
svn2.cnnd.vn,222.255.27.66,200
realtimeims.cnnd.vn,222.255.27.66,503
mic2.cnnd.vn,222.255.27.66,404
mic3.cnnd.vn,222.255.27.66,404
mic4.cnnd.vn,222.255.27.66,503
mic5.cnnd.vn,222.255.27.66,200
imsvne.cnnd.vn,222.255.27.66,404
imsttvn.cnnd.vn,222.255.27.66,200
hcmcache.cnnd.vn,222.255.27.227,Die
fptcache.cnnd.vn,222.255.27.227,Die
a1.cnnd.vn,222.255.27.66,200
a3.cnnd.vn,222.255.27.66,404
a5.cnnd.vn,222.255.27.66,503
a7.cnnd.vn,222.255.27.66,404
a8.cnnd.vn,222.255.27.66,403
a9.cnnd.vn,222.255.27.66,403
a11.cnnd.vn,222.255.27.66,200
a17.cnnd.vn,222.255.27.66,200
a18.cnnd.vn,222.255.27.66,200
a19.cnnd.vn,192.168.6.203,Die
a26.cnnd.vn,222.255.27.66,401
a27.cnnd.vn,222.255.27.66,200
a31.cnnd.vn,222.255.27.66,200
a34.cnnd.vn,222.255.27.66,404
a35.cnnd.vn,222.255.27.66,200
a39.cnnd.vn,222.255.27.66,200
a41.cnnd.vn,222.255.27.66,401
a42.cnnd.vn,222.255.27.66,200
a43.cnnd.vn,222.255.27.66,200
a45.cnnd.vn,222.255.27.66,200
a46.cnnd.vn,222.255.27.66,200
a47.cnnd.vn,222.255.27.66,200
a48.cnnd.vn,222.255.27.66,401
a49.cnnd.vn,222.255.27.66,200
s1.cnnd.vn,222.255.27.66,503
s2.cnnd.vn,222.255.27.66,503
s4.cnnd.vn,222.255.27.66,503
s5.cnnd.vn,222.255.27.66,403
s6.cnnd.vn,222.255.27.66,200
s8.cnnd.vn,222.255.27.66,200
s9.cnnd.vn,222.255.27.66,404
s13.cnnd.vn,222.255.27.66,404
s14.cnnd.vn,222.255.27.66,404
s15.cnnd.vn,222.255.27.66,404
s16.cnnd.vn,222.255.27.66,404
s17.cnnd.vn,222.255.27.66,404
s18.cnnd.vn,222.255.27.66,404
s19.cnnd.vn,222.255.27.66,404
b12.cnnd.vn,222.255.27.66,503
b16.cnnd.vn,222.255.27.66,200
b17.cnnd.vn,222.255.27.66,200
b18.cnnd.vn,222.255.27.66,404
b19.cnnd.vn,222.255.27.66,404
b22.cnnd.vn,222.255.27.66,200
b24.cnnd.vn,222.255.27.66,404
b25.cnnd.vn,222.255.27.66,404
b26.cnnd.vn,222.255.27.66,404
b28.cnnd.vn,222.255.27.66,200
b29.cnnd.vn,222.255.27.66,200
b31.cnnd.vn,222.255.27.66,503
b32.cnnd.vn,222.255.27.66,503
b33.cnnd.vn,222.255.27.66,404
b34.cnnd.vn,222.255.27.66,200
b35.cnnd.vn,222.255.27.66,200
b36.cnnd.vn,222.255.27.66,503
b37.cnnd.vn,222.255.27.66,503
b38.cnnd.vn,222.255.27.66,503
b39.cnnd.vn,222.255.27.66,503
b41.cnnd.vn,222.255.27.66,503
b42.cnnd.vn,222.255.27.66,503
b43.cnnd.vn,222.255.27.66,503
b44.cnnd.vn,222.255.27.66,503
b45.cnnd.vn,222.255.27.66,503
b46.cnnd.vn,222.255.27.66,503
b47.cnnd.vn,222.255.27.66,503
b48.cnnd.vn,222.255.27.66,403
b49.cnnd.vn,222.255.27.66,503
beta.pvdantri.cnnd.vn,222.255.27.66,503
iwb.cnnd.vn,222.255.27.66,Die
logadtech.cnnd.vn,222.255.27.66,200
nhipsongso-noads.cnnd.vn,222.255.27.66,503
dulich-noads.cnnd.vn,222.255.27.66,503
chatcafef.cnnd.vn,222.255.27.66,503
tto.cnnd.vn,222.255.27.66,503
suggesttag.cnnd.vn,222.255.27.66,403
apihcm.cnnd.vn,222.255.239.69,404
spellchk.cnnd.vn,222.255.27.66,200
demoims.cnnd.vn,222.255.27.66,404
dantri.cnnd.vn,222.255.27.66,503
genk.cnnd.vn,222.255.27.66,503
sohas1.cnnd.vn,222.255.27.66,503
afamily.cnnd.vn,222.255.27.66,Die
cafef.cnnd.vn,222.255.27.66,503
gameks.cnnd.vn,222.255.27.66,503
api2vne.cnnd.vn,222.255.27.66,404
es76.cnnd.vn,10.5.76.24,Die
apidemoims2.cnnd.vn,222.255.27.66,Die
ims2techapi.cnnd.vn,222.255.27.66,200
ims2vfc.cnnd.vn,222.255.27.66,503
ims2vfcapi.cnnd.vn,222.255.27.66,503
beta2.cnnd.vn,222.255.27.66,503
apibeta.cnnd.vn,222.255.27.66,200
apicache.cnnd.vn,123.30.151.84,404
thethaos.cnnd.vn,222.255.27.66,503
ims2tienphong.cnnd.vn,222.255.27.66,503
ims2tienphongapi.cnnd.vn,222.255.27.66,503
ntlcache.cnnd.vn,14.225.10.20,503
ims.cnnd.vn,222.255.27.66,200
telegram.cnnd.vn,222.255.27.66,404
monitor-cache.cnnd.vn,222.255.27.66,503
ims2vin.cnnd.vn,222.255.27.66,404
ims2vinapi.cnnd.vn,222.255.27.66,404
vinfastapi.cnnd.vn,123.30.151.84,503
ims2f1global.cnnd.vn,222.255.27.66,503
ims2f1globalapi.cnnd.vn,222.255.27.66,503
f1s.cnnd.vn,123.30.151.84,503
crm.cnnd.vn,123.30.151.84,503
v2.cnnd.vn,222.255.27.66,401
v3.cnnd.vn,222.255.27.66,401
v4.cnnd.vn,222.255.27.66,401
v5.cnnd.vn,222.255.27.66,401
v7.cnnd.vn,222.255.27.66,401
v8.cnnd.vn,222.255.27.66,401
v12.cnnd.vn,222.255.27.66,401
v13.cnnd.vn,222.255.27.66,401
v14.cnnd.vn,222.255.27.66,401
v16.cnnd.vn,222.255.27.66,401
v17.cnnd.vn,222.255.27.66,401
v18.cnnd.vn,222.255.27.66,404
v19.cnnd.vn,222.255.27.66,200
apigate.cnnd.vn,123.30.151.84,404
thoidais.cnnd.vn,123.30.151.84,404
mic7.cnnd.vn,222.255.27.66,200
mic8.cnnd.vn,222.255.27.66,404
mic9.cnnd.vn,222.255.27.66,404
mic11.cnnd.vn,222.255.27.66,503
mic12.cnnd.vn,222.255.27.66,404
mic13.cnnd.vn,222.255.27.66,503
mic15.cnnd.vn,222.255.27.66,404
mic16.cnnd.vn,222.255.27.66,404
mic18.cnnd.vn,222.255.27.66,404
mic19.cnnd.vn,222.255.27.66,404
mic23.cnnd.vn,222.255.27.66,404
mic24.cnnd.vn,222.255.27.66,200
mic25.cnnd.vn,222.255.27.66,404
mic26.cnnd.vn,222.255.27.66,503
mic27.cnnd.vn,222.255.27.66,503
mic28.cnnd.vn,222.255.27.66,503
mic29.cnnd.vn,222.255.27.66,Die
kcms.cnnd.vn,222.255.27.66,200
gi2.cnnd.vn,123.30.151.84,404
gi3.cnnd.vn,123.30.151.84,503
gi4.cnnd.vn,123.30.151.84,503
gi5.cnnd.vn,123.30.151.84,503
gi6.cnnd.vn,123.30.151.84,503
gi7.cnnd.vn,123.30.151.84,503
gi8.cnnd.vn,123.30.151.84,503
gi9.cnnd.vn,123.30.151.84,503
ims2bizfly.cnnd.vn,222.255.27.66,503
