Domain,IP,Status
ns6.synerfy.vn..distinctrobin.com,169.62.159.227,Die
ns7.synerfy.vn..distinctrobin.com,123.30.51.247,Die
ns8.synerfy.vn..distinctrobin.com,210.245.87.125,Die
agt.distinctrobin.com,14.225.10.4,waybackarchive
dfw.distinctrobin.com,123.30.151.71,waybackarchive
qrt.distinctrobin.com,123.30.242.13,waybackarchive
distinctrobin.com,123.30.151.70,digitorus
gko.distinctrobin.com,14.225.10.2,alienvault
imeg.distinctrobin.com,123.30.151.71,alienvault
obin.distinctrobin.com,123.30.151.71,alienvault
