Domain,IP,Status
ns6.synerfy.vn..ewings.vn,169.62.159.227,Die
ns7.synerfy.vn..ewings.vn,123.30.51.247,Die
ns8.synerfy.vn..ewings.vn,210.245.87.125,Die
apiking.ewings.vn,222.255.27.88,503
ttlgm.ewings.vn,222.255.27.86,503
apis.ewings.vn,222.255.27.38,200
kcth.con2.ewings.vn,222.255.27.38,503
kcth.con3.ewings.vn,222.255.27.38,503
chiensicovid.ewings.vn,222.255.27.38,503
hocgiakhoemanh.ewings.vn,222.255.27.38,503
minigame.ewings.vn,222.255.27.38,503
devtoolminigame.ewings.vn,222.255.27.38,200
log.minigame.ewings.vn,222.255.27.38,401
viralgame.ewings.vn,103.69.194.202,200
log.viralgame.ewings.vn,103.69.194.77,Die
hr.ewings.vn,222.255.27.38,200
storegame.ewings.vn,222.255.27.38,503
jira.ewings.vn,222.255.27.38,503
devoriongame.ewings.vn,222.255.27.38,200
mobile.ewings.vn,222.255.27.38,200
ttldev.ewings.vn,222.255.27.88,waybackarchive
onepiecelog.ewings.vn,222.255.27.38,waybackarchive
api.ewings.vn,222.255.27.86,alienvault
ewings.vn,222.255.27.38,digitorus
admin.ewings.vn,222.255.27.38,leakix
www.ewings.vn,222.255.27.86,leakix
carogame.ewings.vn,103.109.41.105,crtsh
devminigame.ewings.vn,103.109.41.129,waybackarchive
