Domain,IP,Status
ns6.synerfy.vn..genk.vn,169.62.159.227,Die
ns7.synerfy.vn..genk.vn,123.30.51.247,Die
ns8.synerfy.vn..genk.vn,210.245.87.125,Die
hn.genk.vn,222.255.27.179,503
v.genk.vn,222.255.27.51,503
c.genk.vn,123.30.151.94,200
app.genk.vn,123.30.151.74,404
suno.genk.vn,192.168.6.203,Die
btv.genk.vn,123.30.151.74,404
s.genk.vn,222.255.27.195,alienvault
www.genk.vn,123.30.151.74,alienvault
mail.service.genk.vn,123.30.234.92,rapiddns
s1.genk.vn,123.30.151.74,waybackarchive
m.genk.vn,14.225.199.134,digitorus
genk.vn,123.30.53.24,digitorus
ul.genk.vn,151.101.65.195,digitorus
