Domain,IP,Status
ns6.synerfy.vn..gungunmobile.vn,169.62.159.227,Die
ns7.synerfy.vn..gungunmobile.vn,123.30.51.247,Die
ns8.synerfy.vn..gungunmobile.vn,210.245.87.125,Die
s1ts.gungunmobile.vn,103.56.159.181,Die
platformts.gungunmobile.vn,103.56.159.38,403
s2ts.gungunmobile.vn,103.56.159.185,Die
s4ts.gungunmobile.vn,103.56.159.34,Die
s5ts.gungunmobile.vn,103.56.159.56,Die
s6ts.gungunmobile.vn,103.56.159.21,Die
s7ts.gungunmobile.vn,103.56.159.42,Die
s8ts.gungunmobile.vn,103.56.159.81,Die
s9ts.gungunmobile.vn,103.56.159.109,Die
tsdk.gungunmobile.vn,103.56.159.220,Die
center.gungunmobile.vn,103.56.159.220,Die
resources.gungunmobile.vn,103.56.159.220,Die
s1.gungunmobile.vn,103.56.159.220,Die
platform.gungunmobile.vn,103.56.159.220,Die
tsdkts.gungunmobile.vn,103.56.159.181,anubis
s3ts.gungunmobile.vn,103.56.159.13,anubis
centerts.gungunmobile.vn,103.56.159.181,anubis
resourcests.gungunmobile.vn,47.243.181.240,rapiddns
