Domain,IP,Status
ns6.synerfy.vn..ictvietnam.vn,169.62.159.227,Die
ns7.synerfy.vn..ictvietnam.vn,123.30.51.247,Die
ns8.synerfy.vn..ictvietnam.vn,210.245.87.125,Die
m.ictvietnam.vn,203.162.16.15,Die
newsletter.ictvietnam.vn,116.118.88.126,alienvault
new.ictvietnam.vn,123.30.151.109,alienvault
ictvietnam.vn,116.118.88.126,crtsh
mail.ictvietnam.vn,142.250.66.83,crtsh
en.ictvietnam.vn,123.30.151.109,rapiddns
docbao.ictvietnam.vn,203.162.16.15,waybackarchive
hoithao.ictvietnam.vn,116.118.88.126,alienvault
s.ictvietnam.vn,123.30.151.109,alienvault
www.ictvietnam.vn,116.118.88.126,waybackarchive
beta-2022.ictvietnam.vn,116.118.88.126,waybackarchive
beta.ictvietnam.vn,116.118.88.126,waybackarchive
