Domain,IP,Status
ns6.synerfy.vn..k8s.vn,169.62.159.227,Die
ns7.synerfy.vn..k8s.vn,123.30.51.247,Die
ns8.synerfy.vn..k8s.vn,210.245.87.125,Die
registry.k8s.vn,103.69.195.85,200
squid.k8s.vn,103.69.194.241,Die
prometheus.k8s.vn,103.69.194.108,Die
pushgateway.k8s.vn,103.69.194.108,Die
ip2dc.k8s.vn,103.107.181.54,Die
vccsec.k8s.vn,103.69.194.144,200
burpsuite.k8s.vn,103.69.195.156,Die
ns1.burpsuite.k8s.vn,103.69.195.156,Die
log.k8s.vn,113.160.73.210,401
api-server.k8s.vn,103.107.181.36,Die
nextcloud.k8s.vn,103.107.181.61,Die
prometheus.bizfly-drive.k8s.vn,103.107.181.61,Die
grafana.bizfly-drive.k8s.vn,103.107.181.61,Die
rancher.k8s.vn,103.107.181.78,Die
vccloud-av.k8s.vn,123.30.151.122,503
graphite.k8s.vn,103.107.181.87,Die
stg-api-server.k8s.vn,103.107.181.13,Die
seafile.k8s.vn,103.69.195.61,Die
auth.k8s.vn,103.107.181.112,Die
sentry.beta.k8s.vn,103.69.195.199,Die
conference.k8s.vn,103.69.195.151,Die
gitlab.vccsec.k8s.vn,103.69.194.162,200
harbor.vccsec.k8s.vn,103.69.194.99,200
grafana.k8s.vn,103.107.181.230,200
goharbor.k8s.vn,103.69.194.190,Die
redteam.k8s.vn,123.31.11.112,200
git.k8s.vn,10.3.79.43,Die
