Domain,IP,Status
ns6.synerfy.vn..kinghub.vn,169.62.159.227,Die
ns7.synerfy.vn..kinghub.vn,123.30.51.247,Die
ns8.synerfy.vn..kinghub.vn,210.245.87.125,Die
epl.kinghub.vn,222.255.27.83,404
www.kinghub.vn,123.30.151.84,200
api.kinghub.vn,123.30.151.81,503
go.kinghub.vn,222.255.27.66,200
beta.kinghub.vn,222.255.27.27,503
dev.kinghub.vn,222.255.27.27,503
api.bigdata.kinghub.vn,14.225.10.11,200
id.kinghub.vn,222.255.27.129,503
upload-id.kinghub.vn,222.255.27.129,503
manager.kinghub.vn,123.30.151.81,200
io.bigdata.kinghub.vn,14.225.10.11,503
instantview.kinghub.vn,123.30.151.81,404
test.api.bigdata.kinghub.vn,14.225.10.29,503
demo.api.bigdata.kinghub.vn,14.225.10.29,200
demo2.api.bigdata.kinghub.vn,14.225.10.11,503
web.api.bigdata.kinghub.vn,14.225.10.11,200
io.web.kinghub.vn,14.225.10.32,503
apigateway.kinghub.vn,14.225.10.11,200
testnps.api.bigdata.kinghub.vn,123.30.151.84,503
testntl.api.bigdata.kinghub.vn,14.225.10.29,503
dev.io.web.kinghub.vn,14.225.10.29,Die
dev.io.app.kinghub.vn,14.225.10.37,503
