Domain,IP,Status
ns6.synerfy.vn..langla.vn,169.62.159.227,Die
ns7.synerfy.vn..langla.vn,123.30.51.247,Die
ns8.synerfy.vn..langla.vn,210.245.87.125,Die
sg1.langla.vn,103.56.159.88,503
sg3.langla.vn,103.56.159.86,Die
sg4.langla.vn,103.56.159.74,Die
sg5.langla.vn,103.56.159.84,Die
sg6.langla.vn,103.56.159.58,Die
sg7.langla.vn,103.56.159.70,200
sg8.langla.vn,103.56.159.95,Die
sg9.langla.vn,103.56.159.91,Die
sg11.langla.vn,103.56.159.93,Die
sg2.langla.vn,103.56.159.140,503
nap.langla.vn,103.69.192.88,200
gateway.langla.vn,103.69.192.88,200
