Domain,IP,Status
ns6.synerfy.vn..mediacdn.vn,169.62.159.227,Die
ns7.synerfy.vn..mediacdn.vn,123.30.51.247,Die
ns8.synerfy.vn..mediacdn.vn,210.245.87.125,Die
vhosting.mediacdn.vn,222.255.27.170,200
nb1.mediacdn.vn,222.255.27.126,403
nb2.mediacdn.vn,222.255.27.150,403
nb3.mediacdn.vn,222.255.27.159,403
nb4.mediacdn.vn,222.255.27.160,403
nb6.mediacdn.vn,222.255.27.84,403
nb7.mediacdn.vn,123.30.170.126,403
sohanews2.mediacdn.vn,222.255.27.170,503
emb1.mediacdn.vn,222.255.27.83,200
nb1.mediacdn.vn,222.255.27.126,403
nb2.mediacdn.vn,222.255.27.150,403
nb3.mediacdn.vn,222.255.27.159,403
nb4.mediacdn.vn,222.255.27.160,403
nb6.mediacdn.vn,222.255.27.84,403
nb7.mediacdn.vn,123.30.170.126,403
nb8.mediacdn.vn,222.255.27.110,403
bk1.mediacdn.vn,103.69.194.149,403
bk2.mediacdn.vn,103.69.194.168,403
bk3.mediacdn.vn,103.69.194.252,403
bk4.mediacdn.vn,103.69.194.147,403
bk5.mediacdn.vn,103.69.195.98,403
bk6.mediacdn.vn,103.69.195.153,403
bk7.mediacdn.vn,103.69.195.149,403
bk8.mediacdn.vn,103.69.195.120,403
bk9.mediacdn.vn,103.69.194.80,Die
apivideo.hosting.mediacdn.vn,222.255.27.170,403
apivideo-hosting.mediacdn.vn,222.255.27.170,403
vscc.hosting.mediacdn.vn,222.255.27.170,503
vscc1.hosting.mediacdn.vn,222.255.27.170,403
vscc1-hosting.mediacdn.vn,222.255.27.170,503
solieu6.mediacdn.vn,222.255.27.83,500
solieu7.mediacdn.vn,222.255.27.83,500
vcplayer.mediacdn.vn,123.30.151.76,404
vcplayer.mediacdn.vn,14.225.10.21,404
image.mediacdn.vn,222.255.27.170,200
video.mediacdn.vn,222.255.27.170,200
nextcloud.mediacdn.vn,103.92.35.72,Die
staging-storage.mediacdn.vn,103.92.35.47,Die
staging.mediacdn.vn,10.5.20.166,Die
staging-videothumbs.mediacdn.vn,10.5.20.166,404
mps.mediacdn.vn,123.30.151.122,405
mps-docs.mediacdn.vn,222.255.27.9,200
office.mediacdn.vn,103.92.35.147,Die
test-nextcloud.mediacdn.vn,103.92.35.130,Die
upload.mediacdn.vn,123.30.151.122,200
upload2.mediacdn.vn,123.30.151.122,200
public.staging.mediacdn.vn,103.69.195.136,Die
mfs-staging.mediacdn.vn,123.30.151.122,405
bbb.mediacdn.vn,103.69.195.230,503
mfs-docsapi.mediacdn.vn,123.30.151.65,200
drawio.mediacdn.vn,103.69.195.230,503
shg-uui.mediacdn.vn,123.30.151.122,200
mp4.mediacdn.vn,123.30.242.26,501
dungvttest.staging.mediacdn.vn,123.30.151.122,200
mps-staging.mediacdn.vn,123.30.151.122,405
staging-videothumbs.mediacdn.vn,123.31.11.239,404
