Domain,IP,Status
ns6.synerfy.vn..nanda.vn,169.62.159.227,Die
ns7.synerfy.vn..nanda.vn,123.30.51.247,Die
ns8.synerfy.vn..nanda.vn,210.245.87.125,Die
ai.nanda.vn,222.255.27.27,200
video-analytics.nanda.vn,222.255.27.27,200
dsp.nanda.vn,123.30.151.71,200
blg.nanda.vn,123.30.151.85,404
btas.nanda.vn,123.30.151.85,200
cdn-store.nanda.vn,123.30.242.10,waybackarchive
cdnstore.nanda.vn,123.30.242.13,waybackarchive
payment.nanda.vn,222.255.27.27,alienvault
ttkh.nanda.vn,123.30.151.81,alienvault
cdn.nanda.vn,123.30.242.13,alienvault
analytics.nanda.vn,123.30.151.81,alienvault
static.nanda.vn,123.30.151.85,alienvault
adserving.nanda.vn,123.30.151.81,alienvault
lg.nanda.vn,123.30.151.85,alienvault
