Domain,IP,Status
ns6.synerfy.vn..pega.vn,169.62.159.227,Die
ns7.synerfy.vn..pega.vn,123.30.51.247,Die
ns8.synerfy.vn..pega.vn,210.245.87.125,Die
dev.api.pega.vn,222.255.27.179,404
btv.pega.vn,192.168.7.171,Die
beta.m.pega.vn,222.255.27.104,503
api.photo.pega.vn,222.255.27.179,404
beta.photo.pega.vn,222.255.27.179,404
r.pega.vn,222.255.27.104,503
upload.pega.vn,222.255.27.192,503
m.cms.pega.vn,222.255.27.104,503
dev.manager.pega.vn,123.30.151.81,alienvault
dev.pega.vn,222.255.27.104,waybackarchive
counter.pega.vn,222.255.27.104,waybackarchive
sb.pega.vn,222.255.27.179,waybackarchive
m.pega.vn,222.255.27.104,waybackarchive
apps.pega.vn,222.255.27.104,waybackarchive
beta.manager.pega.vn,14.225.10.11,alienvault
reader.pega.vn,222.255.27.179,alienvault
ul.pega.vn,151.101.1.195,alienvault
cms.pega.vn,222.255.27.104,waybackarchive
live.pega.vn,222.255.27.104,waybackarchive
social.pega.vn,123.30.151.81,alienvault
app.pega.vn,14.225.10.11,alienvault
ids.pega.vn,222.255.27.104,waybackarchive
manager.pega.vn,123.30.151.81,alienvault
www.pega.vn,123.30.53.12,alienvault
