Domain,IP,Status
ns6.synerfy.vn..sannhac.com,169.62.159.227,Die
ns7.synerfy.vn..sannhac.com,123.30.51.247,Die
ns8.synerfy.vn..sannhac.com,210.245.87.125,Die
alpha.sannhac.com,222.255.27.154,503
cp.sannhac.com,222.255.27.167,503
data.sannhac.com,222.255.27.100,Die
dev.sannhac.com,222.255.27.167,503
dev2.sannhac.com,222.255.27.167,503
f.sannhac.com,222.255.27.167,503
files.sannhac.com,222.255.27.106,Die
flv.sannhac.com,222.255.27.100,Die
fms2.sannhac.com,222.255.27.63,Die
fms3.sannhac.com,222.255.27.151,Die
image1.sannhac.com,222.255.27.106,Die
karaoke.sannhac.com,222.255.27.100,Die
lg.sannhac.com,222.255.27.167,503
lgtv.sannhac.com,222.255.27.167,503
www.miss.sannhac.com,222.255.27.167,503
monitor.sannhac.com,222.255.27.104,503
mr.sannhac.com,222.255.27.167,503
security.sannhac.com,222.255.27.154,503
sync.sannhac.com,222.255.27.167,503
upload.sannhac.com,222.255.27.103,Die
v3.sannhac.com,222.255.27.167,503
ww.sannhac.com,222.255.27.154,503
next.sannhac.com,222.255.27.167,503
spx.sannhac.com,222.255.27.154,503
log.sannhac.com,222.255.27.104,503
dev2xml.sannhac.com,222.255.27.167,503
devwiki.sannhac.com,222.255.27.154,503
beta7.sannhac.com,222.255.27.167,503
miss.sannhac.com,222.255.27.167,dnsdumpster
fms1.sannhac.com,222.255.27.62,waybackarchive
wiki.sannhac.com,222.255.27.154,alienvault
contest.sannhac.com,222.255.27.167,rapiddns
beta.sannhac.com,222.255.27.167,rapiddns
shop.sannhac.com,222.255.27.154,rapiddns
live.sannhac.com,222.255.27.154,rapiddns
netidol.sannhac.com,222.255.27.154,rapiddns
www.sannhac.com,222.255.27.154,rapiddns
blog.sannhac.com,222.255.27.154,rapiddns
