Domain,IP,Status
ns6.synerfy.vn..socnhi.com,169.62.159.227,Die
ns7.synerfy.vn..socnhi.com,123.30.51.247,Die
ns8.synerfy.vn..socnhi.com,210.245.87.125,Die
beta.socnhi.com,222.255.27.104,503
chatgame.socnhi.com,222.255.27.104,503
media.socnhi.com,222.255.27.104,503
monitor.socnhi.com,222.255.27.104,503
node.socnhi.com,222.255.27.104,503
old.socnhi.com,222.255.27.104,503
ott.socnhi.com,222.255.27.104,503
alpha.socnhi.com,222.255.27.104,503
alpha.truonghoc.socnhi.com,222.255.27.104,503
alpha.m.socnhi.com,222.255.27.104,503
ganglia.socnhi.com,222.255.27.104,503
beta3.socnhi.com,222.255.27.104,503
dev9.socnhi.com,222.255.27.104,503
dev9th.socnhi.com,222.255.27.104,503
dev9m.socnhi.com,222.255.27.104,503
ver3.socnhi.com,222.255.27.104,503
todo.socnhi.com,222.255.27.27,503
truonghoctructuyen.socnhi.com,222.255.27.27,alienvault
www.socnhi.com,222.255.27.27,alienvault
deli.socnhi.com,123.30.242.21,rapiddns
m.socnhi.com,222.255.27.27,alienvault
hi.socnhi.com,123.30.41.12,rapiddns
