Domain,IP,Status
ns6.synerfy.vn..soha.vn,169.62.159.227,Die
ns7.synerfy.vn..soha.vn,123.30.51.247,Die
ns8.synerfy.vn..soha.vn,210.245.87.125,Die
api.soha.vn,222.255.27.179,404
app.soha.vn,222.255.27.104,200
testsoap.soha.vn,123.30.151.83,503
c.soha.vn,123.30.151.94,200
testssl.soha.vn,123.30.151.103,503
xaydungthoiquentot.soha.vn,123.30.151.81,503
bayantoan.soha.vn,123.30.151.81,503
suno.soha.vn,192.168.6.203,Die
btv.soha.vn,123.30.151.92,404
beta.soap.soha.vn,103.69.192.88,leakix
adsgame.soha.vn,222.255.27.167,anubis
tratu.soha.vn,222.255.27.180,rapiddns
mail.game.soha.vn,172.217.24.243,rapiddns
s1.soha.vn,14.225.10.12,anubis
alpha.soap.soha.vn,103.69.192.88,alienvault
thucphamsach.soha.vn,222.255.27.26,anubis
worldcup.soha.vn,222.255.27.179,anubis
s.soha.vn,222.255.27.195,alienvault
www.soha.vn,14.225.10.12,rapiddns
s2.soha.vn,123.30.151.84,anubis
nap.soha.vn,103.69.192.88,leakix
www.soap.soha.vn,123.30.151.83,leakix
napch.soha.vn,103.69.192.88,alienvault
ul.soha.vn,151.101.65.195,leakix
soha.vn,123.30.151.92,crtsh
soap.soha.vn,123.30.151.83,leakix
hoithaodinhduong.soha.vn,222.255.27.26,anubis
dev.soap.soha.vn,103.69.192.88,alienvault
m.soha.vn,123.30.151.92,anubis
mail.soha.vn,172.217.24.243,rapiddns
