Domain,IP,Status
ns6.synerfy.vn..sohacorp.vn,169.62.159.227,Die
ns7.synerfy.vn..sohacorp.vn,123.30.51.247,Die
ns8.synerfy.vn..sohacorp.vn,210.245.87.125,Die
docker.sohacorp.vn,222.255.27.88,503
adminsohagame.sohacorp.vn,222.255.27.88,503
cache.sohacorp.vn,222.255.27.88,503
adminpega.sohacorp.vn,222.255.27.195,503
backend.sohacorp.vn,222.255.27.88,503
hub.sohacorp.vn,222.255.27.165,503
countly.sohacorp.vn,222.255.27.88,503
che.sohacorp.vn,222.255.27.165,503
dev2.sohacorp.vn,222.255.27.86,503
apiv2.sohacorp.vn,222.255.27.88,503
cpm.sohacorp.vn,222.255.27.88,503
ads.sohacorp.vn,222.255.27.88,503
sohasdk.sohacorp.vn,222.255.27.165,waybackarchive
api.sohacorp.vn,222.255.27.165,waybackarchive
v2.sohacorp.vn,222.255.27.88,waybackarchive
admin2.sohacorp.vn,10.5.44.185,waybackarchive
mobile.sohacorp.vn,222.255.27.165,waybackarchive
m.sohacorp.vn,222.255.27.165,waybackarchive
update.sohacorp.vn,222.255.27.165,alienvault
sohacorp.vn,222.255.27.165,digitorus
sohaplay.sohacorp.vn,222.255.27.88,alienvault
sdk2mysoha.sohacorp.vn,222.255.27.88,rapiddns
cloud.sohacorp.vn,222.255.27.165,rapiddns
git.sohacorp.vn,222.255.27.88,rapiddns
