Domain,IP,Status
ns6.synerfy.vn..sohagame.vn,169.62.159.227,Die
ns7.synerfy.vn..sohagame.vn,123.30.51.247,Die
ns8.synerfy.vn..sohagame.vn,210.245.87.125,Die
m.sohagame.vn,103.69.192.88,503
socvui.sohagame.vn,103.69.192.88,200
taikhoan.sohagame.vn,222.255.27.156,200
dev.taikhoan.sohagame.vn,103.69.192.88,500
tk.sohagame.vn,222.255.27.220,Die
tl.sohagame.vn,103.69.192.88,200
dev.tl.sohagame.vn,103.69.192.88,403
vpn.sohagame.vn,210.211.126.91,Die
media.sohagame.vn,103.69.192.88,503
app.sohagame.vn,103.69.192.88,503
hotro.sohagame.vn,103.69.192.88,200
muathe.sohagame.vn,103.69.192.88,200
update.taikhoan.sohagame.vn,103.69.192.88,500
updatesoap.sohagame.vn,103.69.192.88,503
tuyendung.sohagame.vn,103.69.192.88,200
cms3.sohagame.vn,103.69.192.88,200
zbx.sohagame.vn,103.56.159.12,Die
mathe.sohagame.vn,172.16.11.11,Die
splunk.sohagame.vn,103.56.159.12,Die
id.sohagame.vn,172.16.11.111,Die
fwtr.sohagame.vn,103.69.192.88,401
wallet.sohagame.vn,172.16.11.111,Die
id-mail.sohagame.vn,103.56.159.16,Die
evony.sohagame.vn,103.69.192.88,401
beta-nap.sohagame.vn,103.56.159.221,200
beta.tl.sohagame.vn,103.69.192.88,200
volam.sohagame.vn,172.16.11.11,rapiddns
s3-shield.sohagame.vn,103.69.192.100,waybackarchive
sg1testvccdn.sohagame.vn,123.30.242.10,leakix
sg368cdn.sohagame.vn,123.30.177.101,alienvault
icarusm.sohagame.vn,103.56.159.221,waybackarchive
psgcdn.sohagame.vn,123.30.177.102,waybackarchive
store.sohagame.vn,222.255.27.173,rapiddns
nap.sohagame.vn,123.30.151.83,alienvault
sg376cdn.sohagame.vn,123.30.177.125,alienvault
beta-taikhoan.sohagame.vn,103.56.159.221,alienvault
nap.ngaokiem.sohagame.vn,172.16.11.11,alienvault
cpvm.sohagame.vn,222.255.27.167,waybackarchive
ganglia.sohagame.vn,123.30.170.15,waybackarchive
smtp.sohagame.vn,103.69.195.140,rapiddns
www.sohagame.vn,222.255.27.164,waybackarchive
nagios.sohagame.vn,123.30.170.15,waybackarchive
naptien.sohagame.vn,172.16.11.11,waybackarchive
forum.sohagame.vn,172.16.11.11,rapiddns
auth.sohagame.vn,123.30.151.83,rapiddns
