Domain,IP,Status
ns6.synerfy.vn..sohaplay.vn,169.62.159.227,Die
ns7.synerfy.vn..sohaplay.vn,123.30.51.247,Die
ns8.synerfy.vn..sohaplay.vn,210.245.87.125,Die
app.sohaplay.vn,222.255.27.86,503
cms.sohaplay.vn,222.255.27.86,503
api.sohaplay.vn,222.255.27.86,503
cms.sohagame.sohaplay.vn,222.255.27.86,503
api.sohagame.sohaplay.vn,222.255.27.86,503
sohagame.sohaplay.vn,222.255.27.86,503
redirect.sohaplay.vn,222.255.27.86,503
auth.sohaplay.vn,103.69.192.88,alienvault
www.sohaplay.vn,103.69.192.88,alienvault
