Domain,IP,Status
ns6.synerfy.vn..sohatv.vn,169.62.159.227,Die
ns7.synerfy.vn..sohatv.vn,123.30.51.247,Die
ns8.synerfy.vn..sohatv.vn,210.245.87.125,Die
sip.sohatv.vn,123.30.170.240,Die
stun.sohatv.vn,123.30.170.240,Die
astdev.sohatv.vn,123.30.234.233,Die
demo.sohatv.vn,222.255.27.195,503
turn.sohatv.vn,123.31.11.233,Die
sturn.sohatv.vn,222.255.27.122,501
centralog.sohatv.vn,222.255.27.165,503
testplayer.sohatv.vn,222.255.27.195,503
cloudgamegit.sohatv.vn,222.255.27.195,503
uapi.sohatv.vn,222.255.27.129,503
cms.sohatv.vn,222.255.27.129,503
svndesign.sohatv.vn,222.255.27.86,403
safeplayer.sohatv.vn,222.255.27.86,503
tra.sohatv.vn,222.255.27.180,503
dashboard.sohatv.vn,222.255.27.129,503
apis.sohatv.vn,222.255.27.129,503
transcode.sohatv.vn,222.255.27.129,503
als.sohatv.vn,222.255.27.129,503
admincdn.sohatv.vn,222.255.27.129,503
devanalytic.sohatv.vn,222.255.27.129,503
devupload.sohatv.vn,222.255.27.129,503
turn-gw.sohatv.vn,103.69.195.147,Die
turn-tra.sohatv.vn,123.31.11.112,200
developer.sohatv.vn,222.255.27.129,503
ucms.sohatv.vn,222.255.27.129,503
static.sohatv.vn,222.255.27.129,503
liveprom-monitor.sohatv.vn,222.255.27.129,401
x3-upload.sohatv.vn,222.255.27.129,503
thongke.sohatv.vn,222.255.27.129,503
lg1-vcplayer.sohatv.vn,103.69.195.214,200
live-nmc.sohatv.vn,222.255.27.129,200
kingtalk.sohatv.vn,103.69.194.115,200
x3-upload.cdn.sohatv.vn,103.69.194.109,400
x3-c1.cdn.sohatv.vn,103.69.194.109,400
x3-c2.cdn.sohatv.vn,103.69.194.170,Die
x3-c3.cdn.sohatv.vn,103.69.194.145,Die
x3-c4.cdn.sohatv.vn,103.92.34.81,Die
x3-c5.cdn.sohatv.vn,103.92.34.170,Die
x3-cdn.sohatv.vn,103.92.34.170,400
object.sohatv.vn,222.255.27.129,503
mcadmin.sohatv.vn,222.255.27.129,503
x3-cloud-1.cdn.sohatv.vn,103.69.195.228,200
x3-cloud-2.cdn.sohatv.vn,103.69.194.199,400
x3-cdn-dev.sohatv.vn,103.69.195.227,Die
x3-dev.sohatv.vn,103.107.181.26,403
x3-sync.sohatv.vn,103.69.194.102,200
upload.sohatv.vn,103.69.194.109,403
x3-c2.sohatv.vn,103.69.194.170,Die
x3-c3.sohatv.vn,103.69.194.145,Die
x3-c4.sohatv.vn,103.92.34.81,Die
x3-c5.sohatv.vn,103.92.34.170,Die
cdn-c2.sohatv.vn,103.69.194.199,200
minio.sohatv.vn,222.255.27.129,503
cdn-c3.sohatv.vn,103.69.194.198,200
cdn-c4.sohatv.vn,103.69.195.26,Die
cdn-c6.sohatv.vn,123.31.11.225,200
backendstorage.sohatv.vn,103.69.195.107,Die
dvr1.sohatv.vn,42.112.37.41,Die
dvr2.sohatv.vn,123.30.215.47,200
dvr3.sohatv.vn,123.30.242.22,Die
dvr4.sohatv.vn,123.31.11.129,200
dvr5.sohatv.vn,45.124.92.83,Die
dev-videoplayback.sohatv.vn,222.255.27.129,503
x3-nfs.sohatv.vn,45.124.92.68,200
x3-fpt.sohatv.vn,42.112.37.42,Die
x3-hcm.sohatv.vn,123.30.215.48,Die
rtmp-c1.sohatv.vn,103.107.181.67,Die
webrtc.sohatv.vn,103.107.181.82,403
ovp-rtmp.sohatv.vn,103.107.181.79,200
amp.sohatv.vn,222.255.27.129,503
nlpconllu.sohatv.vn,222.255.27.129,503
nlptool.sohatv.vn,222.255.27.129,503
realtime.sohatv.vn,222.255.27.129,503
apidoc-kingtalk.sohatv.vn,222.255.27.129,503
ovp-realtime.sohatv.vn,222.255.27.129,200
management.sohatv.vn,103.107.181.19,200
live-sync.sohatv.vn,103.92.35.67,Die
backbeat.sohatv.vn,103.107.181.67,Die
upload-ovp.sohatv.vn,103.107.181.134,200
dvr6.sohatv.vn,45.124.92.66,Die
warningkingid.sohatv.vn,222.255.27.129,503
console.sohatv.vn,103.107.181.124,404
dvr7.sohatv.vn,45.124.92.75,Die
