Domain,IP,Status
ns6.synerfy.vn..vccorp.vn,169.62.159.227,Die
ns7.synerfy.vn..vccorp.vn,123.30.51.247,Die
ns8.synerfy.vn..vccorp.vn,210.245.87.125,Die
api.ims.vccorp.vn,222.255.27.180,503
s-talent.vccorp.vn,222.255.27.66,503
ai.vccorp.vn,222.255.27.27,503
school.vccorp.vn,123.30.151.81,503
vc15.vccorp.vn,123.30.151.81,200
test-elearning.vccorp.vn,123.30.151.81,403
checkin.vccorp.vn,103.69.195.105,anubis
www.vccorp.vn,222.255.27.180,waybackarchive
taito.vccorp.vn,123.30.242.70,alienvault
hoinhap.vccorp.vn,123.31.11.103,leakix
tuyendung.vccorp.vn,123.30.151.81,anubis
jobadmin-backend.vccorp.vn,123.30.151.81,anubis
chamnhuanthietke.vccorp.vn,123.30.151.81,anubis
chamnhuan.vccorp.vn,123.30.151.81,anubis
quanlyduanknd.vccorp.vn,123.30.151.81,alienvault
ordersanxuat-pr.vccorp.vn,123.30.151.81,anubis
yepadmin.vccorp.vn,123.30.151.81,waybackarchive
nhuankhac-backend.vccorp.vn,123.30.151.81,alienvault
yep.vccorp.vn,123.30.151.81,waybackarchive
nextgen.vccorp.vn,45.124.92.33,anubis
hrbonusadmin.vccorp.vn,123.30.151.81,anubis
chamcongknd3.vccorp.vn,123.30.151.81,crtsh
svtainang.vccorp.vn,222.255.27.180,anubis
file.vccorp.vn,103.69.195.132,anubis
chamcongknd4.vccorp.vn,123.30.151.81,alienvault
hrbonusadmin-backend.vccorp.vn,123.30.151.81,anubis
chamnhuanmutex.vccorp.vn,123.30.151.81,anubis
nhuanduyetpr-backend.vccorp.vn,123.30.151.81,anubis
appstore.vccorp.vn,123.30.151.81,anubis
dev-elearning.vccorp.vn,123.30.151.81,anubis
hrbonus.vccorp.vn,123.30.151.81,anubis
demo-chamnhuan-backend.vccorp.vn,123.30.151.81,alienvault
bonus.vccorp.vn,123.30.151.81,alienvault
demo-chamnhuan.vccorp.vn,123.30.151.81,alienvault
ordersanxuat-pr-backend.vccorp.vn,123.30.151.81,anubis
newsweek.vccorp.vn,103.69.195.250,waybackarchive
chamnhuanking.vccorp.vn,123.30.151.81,anubis
chamcongknd1.vccorp.vn,123.30.151.81,alienvault
chamcongknd2.vccorp.vn,123.30.151.81,waybackarchive
mail.vccorp.vn,172.217.27.19,waybackarchive
jobadmin.vccorp.vn,123.30.151.81,leakix
chamnhuansocial.vccorp.vn,123.30.151.81,anubis
chamnhuanmutex-backend.vccorp.vn,123.30.151.81,anubis
bonusadmin.vccorp.vn,123.30.151.81,anubis
career.vccorp.vn,222.255.236.247,anubis
nhuankhac.vccorp.vn,123.30.151.81,waybackarchive
elearning.vccorp.vn,14.225.10.11,anubis
chamnhuansocial-backend.vccorp.vn,123.30.151.81,anubis
salary.vccorp.vn,123.30.151.81,alienvault
nhuanduyetpr.vccorp.vn,123.30.151.81,anubis
miss.vccorp.vn,222.255.27.66,anubis
job.vccorp.vn,123.30.151.81,anubis
tuyendung-backend.vccorp.vn,123.30.151.81,anubis
ims.vccorp.vn,222.255.27.156,alienvault
qatickets.vccorp.vn,222.255.27.88,anubis
tailieu.vccorp.vn,123.30.151.81,digitorus
missdata.vccorp.vn,222.255.27.66,anubis
www.svtainang.vccorp.vn,222.255.27.180,rapiddns
vc17.vccorp.vn,123.30.242.70,waybackarchive
quanlyduanknd-backend.vccorp.vn,123.30.151.81,alienvault
cshr.vccorp.vn,45.124.92.33,anubis
dev-moodle.vccorp.vn,123.30.151.81,anubis
chamcong.vccorp.vn,123.30.151.81,anubis
cup.vccorp.vn,222.255.27.66,anubis
bonusadmin-backend.vccorp.vn,123.30.151.81,anubis
asd.vccorp.vn,123.30.151.81,alienvault
vccorp.vn,222.255.27.180,crtsh
