Domain,IP,Status
ns6.synerfy.vn..vietid.net,169.62.159.227,Die
ns7.synerfy.vn..vietid.net,123.30.51.247,Die
ns8.synerfy.vn..vietid.net,210.245.87.125,Die
m.comment.vietid.net,222.255.27.18,200
dev.vietid.net,222.255.27.164,200
m.dev.vietid.net,222.255.27.164,503
dev.api.vietid.net,222.255.27.18,503
m.vietid.net,222.255.27.35,200
dev.m.vietid.net,222.255.27.164,503
rt.vietid.net,222.255.27.18,503
www.vietid.net,222.255.27.35,200
monitoring.vietid.net,222.255.27.35,503
dev.payment.vietid.net,222.255.27.18,503
congdong.vietid.net,222.255.27.104,404
devpayment.vietid.net,222.255.27.164,503
devapi.vietid.net,222.255.27.164,200
devm.vietid.net,222.255.27.164,503
devmcomment.vietid.net,222.255.27.164,503
devcomment.vietid.net,222.255.27.164,503
zeus.vietid.net,123.31.11.236,Die
hera.vietid.net,123.31.11.117,Die
developers.vietid.net,222.255.27.35,200
v2.vietid.net,222.255.27.18,200
apiv2.vietid.net,222.255.27.18,503
admin.vietid.net,222.255.27.35,200
v1.vietid.net,222.255.27.104,200
images.vietid.net,222.255.27.18,403
upload.vietid.net,222.255.27.18,200
logger.vietid.net,222.255.27.18,503
email.vietid.net,222.255.27.38,200
upload.email.vietid.net,222.255.27.104,503
cspapi.vietid.net,222.255.27.35,503
chat.vietid.net,222.255.27.35,503
r.vietid.net,222.255.27.35,503
log.vietid.net,222.255.27.35,503
la.vietid.net,123.30.151.79,404
registry.vietid.net,123.30.242.60,Die
smtp1.ticket.vietid.net,103.69.195.86,Die
smtp2.ticket.vietid.net,123.31.11.163,200
smtp3.ticket.vietid.net,123.31.11.245,Die
mx1.ticket.vietid.net,103.69.195.235,Die
mx2.ticket.vietid.net,103.69.195.231,Die
mdc.vietid.net,222.255.27.35,503
saleticket.vietid.net,222.255.27.88,503
npmjs.vietid.net,222.255.27.38,503
dev.saleticket.vietid.net,222.255.27.88,503
l1.livechat.vietid.net,222.255.27.35,404
codepush.vietid.net,222.255.27.38,503
turn.vietid.net,222.255.27.122,501
turn.vietid.net,222.255.27.127,501
stun.vietid.net,222.255.27.122,501
pbx.vietid.net,103.69.194.98,Die
dev.rentoticket.vietid.net,222.255.27.35,503
staging.nemoticket.vietid.net,222.255.27.38,503
nemoticket.vietid.net,222.255.27.38,503
staging.rentoticket.vietid.net,222.255.27.38,503
gateway.vietid.net,222.255.27.38,503
bot.vietid.net,222.255.27.38,503
tra.vietid.net,222.255.27.127,501
dev.admicroticket.vietid.net,222.255.27.38,503
pr.admicro.ticket.vietid.net,222.255.27.38,503
dev.pr.admicro.ticket.vietid.net,222.255.27.38,503
staging.saleticket.vietid.net,222.255.27.38,503
staging.pr.admicro.ticket.vietid.net,222.255.27.38,503
parse.vietid.net,222.255.27.38,503
cadmin.vietid.net,222.255.27.38,200
comments.vietid.net,222.255.27.38,200
staging.qaticket.vietid.net,222.255.27.38,503
livescore.vietid.net,222.255.27.38,503
livedata.vietid.net,222.255.27.38,503
