Domain,IP,Status
ns6.synerfy.vn..vinfast.vn,169.62.159.227,Die
ns7.synerfy.vn..vinfast.vn,123.30.51.247,Die
ns8.synerfy.vn..vinfast.vn,210.245.87.125,Die
media.vinfast.vn,222.255.27.45,200
supplier.vinfast.vn,116.97.110.220,200
fioridev.vinfast.vn,116.97.110.222,Die
technical.vinfast.vn,112.78.2.241,200
oto.vinfast.vn,123.30.151.93,200
xemaydien.vinfast.vn,123.30.151.93,200
www.oto.vinfast.vn,123.30.151.93,200
www.xemaydien.vinfast.vn,123.30.151.93,200
sapwebdev.vinfast.vn,116.97.110.222,Die
sapwebqas.vinfast.vn,116.97.110.222,Die
sapweb.vinfast.vn,116.97.110.222,Die
