Domain,IP,Status
ns6.synerfy.vn..zamba.vn,169.62.159.227,Die
ns7.synerfy.vn..zamba.vn,123.30.51.247,Die
ns8.synerfy.vn..zamba.vn,210.245.87.125,Die
a.zamba.vn,123.30.234.168,Die
media.zamba.vn,45.124.92.35,200
static2.zamba.vn,45.124.92.35,200
static3.zamba.vn,45.124.92.35,200
static5.zamba.vn,45.124.92.35,200
static6.zamba.vn,45.124.92.35,200
static8.zamba.vn,45.124.92.35,200
static9.zamba.vn,45.124.92.35,200
repo.zamba.vn,45.124.92.33,403
static11.zamba.vn,45.124.92.35,200
upload.zamba.vn,45.124.92.28,200
doc.zamba.vn,103.69.195.250,200
rdapip.zamba.vn,103.69.195.250,404
mkt2.zamba.vn,103.69.195.250,200
mchat.zamba.vn,123.30.242.45,Die
static12.zamba.vn,45.124.92.35,200
static14.zamba.vn,45.124.92.35,200
static15.zamba.vn,45.124.92.35,200
seoadmin.zamba.vn,123.31.11.136,200
seo.zamba.vn,123.31.11.136,200
static16.zamba.vn,45.124.92.35,200
static17.zamba.vn,45.124.92.35,200
static18.zamba.vn,45.124.92.35,200
static19.zamba.vn,45.124.92.35,502
in.zamba.vn,103.69.195.250,200
log.zamba.vn,103.69.195.250,Die
mail.zamba.vn,103.69.195.250,200
mobile.zamba.vn,103.69.195.250,200
pchat.zamba.vn,123.30.242.44,Die
rdapi.zamba.vn,103.69.195.250,403
schat.zamba.vn,123.30.242.44,Die
zlog.zamba.vn,123.31.11.197,Die
crm.zamba.vn,103.69.195.250,200
data.zamba.vn,103.69.195.250,403
mkt.zamba.vn,103.69.195.250,Die
mckt.zamba.vn,45.124.92.33,Die
mblog.zamba.vn,45.124.92.35,200
ir.zamba.vn,123.30.242.43,Die
apichat2.zamba.vn,123.30.242.44,Die
scrm.zamba.vn,123.31.11.18,Die
popup.zamba.vn,45.124.92.33,200
rento-api.zamba.vn,45.124.92.33,503
api-muachung.zamba.vn,45.124.92.16,503
rdstatic.zamba.vn,103.69.195.250,403
pmobile.zamba.vn,123.30.242.22,Die
apichat4.zamba.vn,123.30.242.44,Die
rdpush.zamba.vn,103.69.195.250,403
api-sohapay.zamba.vn,45.124.92.16,503
rongbay.zamba.vn,123.30.242.48,501
sms.zamba.vn,45.124.92.16,503
sale.zamba.vn,103.69.195.250,500
docker.zamba.vn,103.69.195.126,Die
chat.zamba.vn,45.124.92.33,503
score.zamba.vn,103.69.195.250,403
static.rd.zamba.vn,45.124.92.33,503
zchat.zamba.vn,45.124.92.33,502
apichat.zamba.vn,45.124.92.35,200
apichat3.zamba.vn,45.124.92.35,200
rd.zamba.vn,45.124.92.35,200
recommend.zamba.vn,45.124.92.33,502
webhook.zamba.vn,45.124.92.33,404
devchat.zamba.vn,45.124.92.33,503
inbound.zamba.vn,45.124.92.33,404
we.zamba.vn,45.124.92.33,503
p.zamba.vn,103.69.195.126,Die
s.zamba.vn,103.69.195.33,200
f.zamba.vn,103.69.195.33,200
pm.zamba.vn,103.69.195.33,404
vpn.zamba.vn,103.69.194.154,Die
rb.zamba.vn,45.124.92.33,200
hr.zamba.vn,45.124.92.33,200
xsec.zamba.vn,45.124.92.33,404
