Domain,IP,Status
beta.afamily.vn,123.30.151.108,rapiddns
www.afamily.vn,123.30.53.24,rapiddns
s3.afamily.vn,123.30.151.74,waybackarchive
afamily.vn,123.30.53.24,digitorus
search.afamily.vn,222.255.27.195,alienvault
s.afamily.vn,222.255.27.51,alienvault
video.afamily.vn,123.30.151.74,alienvault
hanhtrangchocon.afamily.vn,123.30.151.81,alienvault
waf.afamily.vn,222.255.27.156,rapiddns
dreamland.afamily.vn,123.30.151.74,digitorus
m.afamily.vn,123.30.151.74,digitorus
tuyendung.afamily.vn,222.255.27.195,alienvault
www.dreamland.afamily.vn,123.30.151.74,rapiddns
maitoctoiyeu.afamily.vn,123.30.151.81,alienvault
ul.afamily.vn,151.101.1.195,alienvault
