Domain,IP,Status
a012a09-jitsi.prebuilt-app.bfcplatform.vn,103.107.182.169,rapiddns
hot14.drive.bfcplatform.vn,14.225.10.54,waybackarchive
hn-staging.ss.bfcplatform.vn,45.124.93.46,alienvault
05cf76f-gitlab.prebuilt-app.bfcplatform.vn,45.124.94.253,rapiddns
2504110-cwp.prebuilt-app.bfcplatform.vn,45.124.95.81,crtsh
6f86d19-openvpn.prebuilt-app.bfcplatform.vn,45.124.95.206,alienvault
e0ed534-openvpn.prebuilt-app.bfcplatform.vn,123.30.234.138,crtsh
8cedf3f-moodle.prebuilt-app.bfcplatform.vn,103.153.74.131,dnsdumpster
38f2858-redmine.prebuilt-app.bfcplatform.vn,14.225.44.108,alienvault
170de5d-clearos.prebuilt-app.bfcplatform.vn,103.107.182.219,crtsh
cd1f640-gitlab.prebuilt-app.bfcplatform.vn,103.56.157.161,alienvault
aee921e-moodle.prebuilt-app.bfcplatform.vn,103.153.73.185,dnsdumpster
8fe5b25-mattermost.prebuilt-app.bfcplatform.vn,103.153.75.226,leakix
5bff198-moodle.prebuilt-app.bfcplatform.vn,103.109.43.244,waybackarchive
e8598a2-redmine.prebuilt-app.bfcplatform.vn,14.225.29.203,alienvault
1630f3a-cwp.prebuilt-app.bfcplatform.vn,123.30.234.126,alienvault
59e0ddd-openvpn.prebuilt-app.bfcplatform.vn,103.56.157.247,crtsh
d9f8fa0-cwp.prebuilt-app.bfcplatform.vn,123.30.48.154,alienvault
d5766bf-nextcloud.prebuilt-app.bfcplatform.vn,103.109.43.145,dnsdumpster
7061a8f-joomla.prebuilt-app.bfcplatform.vn,45.124.95.62,crtsh
18b4ad8-openvpn.prebuilt-app.bfcplatform.vn,103.153.73.109,alienvault
8d8b9e3-gitlab.prebuilt-app.bfcplatform.vn,103.56.157.239,dnsdumpster
31d30e4-cwp.prebuilt-app.bfcplatform.vn,123.30.234.70,alienvault
bb9387f-cwp.prebuilt-app.bfcplatform.vn,123.30.234.162,crtsh
54fede0-nextcloud.prebuilt-app.bfcplatform.vn,14.225.36.44,crtsh
codegym.ad.bfcplatform.vn,14.225.0.37,rapiddns
