Domain,IP,Status
www.bizfly.vn,45.124.92.33,leakix
hocvienphicongvas.bizfly.vn,45.124.92.33,dnsdumpster
chat.bizfly.vn,123.30.242.70,anubis
static12.bizfly.vn,45.124.92.35,dnsdumpster
nhahang.bizfly.vn,45.124.92.33,waybackarchive
fiber.bizfly.vn,45.124.92.33,waybackarchive
templates.bizfly.vn,45.124.92.33,rapiddns
mailapp.bizfly.vn,103.69.195.33,waybackarchive
minigame.bizfly.vn,45.124.92.33,waybackarchive
bizfly.vn,45.124.92.33,digitorus
giaiphapbds.bizfly.vn,103.69.194.123,anubis
appcrm.bizfly.vn,45.124.92.33,rapiddns
link.bizfly.vn,45.124.92.20,waybackarchive
in.bizfly.vn,14.225.10.11,leakix
hoithao.bizfly.vn,45.124.92.33,dnsdumpster
chamcong.bizfly.vn,14.225.10.11,dnsdumpster
templ.bizfly.vn,45.124.92.33,rapiddns
shop.bizfly.vn,123.30.242.70,dnsdumpster
meet.bizfly.vn,103.69.194.179,anubis
wifi.bizfly.vn,45.124.92.33,rapiddns
livechat.bizfly.vn,123.30.242.70,waybackarchive
eshop.bizfly.vn,45.124.92.33,dnsdumpster
emailtemplate.bizfly.vn,45.124.92.33,waybackarchive
chatbotfree.bizfly.vn,45.124.92.33,waybackarchive
o-x.bizfly.vn,45.124.92.33,alienvault
ecampain.bizfly.vn,123.30.242.70,alienvault
events.bizfly.vn,123.30.242.70,dnsdumpster
data.bizfly.vn,45.124.92.33,dnsdumpster
my.bizfly.vn,123.30.242.70,rapiddns
cdn-crm.bizfly.vn,123.30.242.10,alienvault
apicampain.bizfly.vn,123.30.242.70,waybackarchive
hr.bizfly.vn,14.225.10.11,alienvault
ticket.bizfly.vn,123.30.242.70,anubis
hr-backend.bizfly.vn,14.225.10.11,leakix
shopfly.bizfly.vn,45.124.92.33,rapiddns
webpush.bizfly.vn,45.124.92.33,rapiddns
crm.bizfly.vn,123.30.242.70,anubis
short.bizfly.vn,123.30.151.81,alienvault
chat-skio.bizfly.vn,45.124.92.36,rapiddns
help.bizfly.vn,45.124.92.33,dnsdumpster
ticketdoc.bizfly.vn,103.69.194.122,anubis
bot.bizfly.vn,45.124.92.20,waybackarchive
botnhahang.bizfly.vn,45.124.92.33,dnsdumpster
pr.bizfly.vn,103.107.181.85,anubis
popup.bizfly.vn,45.124.92.33,anubis
khuyenmai.bizfly.vn,18.140.75.249,alienvault
email.mkt.bizfly.vn,45.124.92.33,alienvault
tailieu.bizfly.vn,123.30.151.81,alienvault
tailieu-backend.bizfly.vn,123.30.151.81,alienvault
live.athenafs.bizfly.vn,123.30.242.70,dnsdumpster
s.bizfly.vn,123.30.151.81,alienvault
