Domain,IP,Status
4ac9928-nextcloud.prebuilt-app.bizflycloud.vn,14.225.27.138,rapiddns
0057598-jitsi.prebuilt-app.bizflycloud.vn,103.107.183.112,alienvault
6087d2d5d0eb92f1d843cd17.wifimkt.bizflycloud.vn,103.148.57.196,crtsh
21a500e-bigbluebutton.prebuilt-app.bizflycloud.vn,103.56.156.197,crtsh
75fde72-nextcloud.prebuilt-app.bizflycloud.vn,103.107.182.158,alienvault
8833560-cwp.prebuilt-app.bizflycloud.vn,103.153.73.154,crtsh
046eaae-openvpn.prebuilt-app.bizflycloud.vn,14.225.27.208,rapiddns
e237bb7-nextcloud.prebuilt-app.bizflycloud.vn,45.124.95.64,rapiddns
5ceff8c-openvpn.prebuilt-app.bizflycloud.vn,45.124.95.222,rapiddns
609b8ce03ae61711afd1e99a.wifimkt.bizflycloud.vn,103.148.57.196,alienvault
d4ab5c2-nextcloud.prebuilt-app.bizflycloud.vn,103.153.72.212,rapiddns
bb04165-nextcloud.prebuilt-app.bizflycloud.vn,103.107.183.139,crtsh
6a4f147-cwp.prebuilt-app.bizflycloud.vn,103.107.183.114,alienvault
7e0af97-magento.prebuilt-app.bizflycloud.vn,103.153.73.134,rapiddns
109fc.drive.bizflycloud.vn,123.31.11.240,dnsdumpster
6a0bb0b-openvpn.prebuilt-app.bizflycloud.vn,103.153.73.139,alienvault
0eddbad-openvpn.prebuilt-app.bizflycloud.vn,45.124.94.104,alienvault
75148b6-owncloud.prebuilt-app.bizflycloud.vn,103.69.193.65,alienvault
b8750be-redmine.prebuilt-app.bizflycloud.vn,103.56.158.234,rapiddns
6b656bb-nextcloud.prebuilt-app.bizflycloud.vn,103.56.157.68,rapiddns
020c013-nextcloud.prebuilt-app.bizflycloud.vn,45.124.95.14,crtsh
79679c3-openvpn.prebuilt-app.bizflycloud.vn,123.30.234.147,crtsh
607eabd02f20a5b6385d4131.wifimkt.bizflycloud.vn,103.148.57.196,alienvault
6092457fae60b2bc0961802f.wifimkt.bizflycloud.vn,103.148.57.196,alienvault
id1231234.wifimkt.bizflycloud.vn,103.148.57.196,alienvault
851f2f7-nextcloud.prebuilt-app.bizflycloud.vn,45.124.94.232,alienvault
a5d9dfe-magento.prebuilt-app.bizflycloud.vn,103.153.73.76,rapiddns
673bb80-cwp.prebuilt-app.bizflycloud.vn,45.124.94.238,alienvault
5499701-cwp.prebuilt-app.bizflycloud.vn,45.124.95.190,alienvault
vuagm.ss-hn-1.bizflycloud.vn,103.107.180.241,rapiddns
b9217ca-jitsi.prebuilt-app.bizflycloud.vn,103.153.73.80,rapiddns
79f15ff-cwp.prebuilt-app.bizflycloud.vn,103.153.74.9,alienvault
6ee5178-cwp.prebuilt-app.bizflycloud.vn,103.148.57.151,rapiddns
4fb7d71-cwp.prebuilt-app.bizflycloud.vn,103.109.43.241,alienvault
5d3b146-cwp.prebuilt-app.bizflycloud.vn,103.153.73.118,rapiddns
82e936c-openvpn.prebuilt-app.bizflycloud.vn,123.30.234.171,crtsh
rice.demo.bizflycloud.vn,103.69.193.245,alienvault
lallaa-cogimoi.ss-hn-1.bizflycloud.vn,103.107.180.241,rapiddns
livestream.bizflycloud.vn,123.31.11.88,waybackarchive
bacd707-cwp.prebuilt-app.bizflycloud.vn,45.124.94.145,alienvault
alert-se65.bizflycloud.vn,123.31.11.130,dnsdumpster
ns1.bizflycloud.vn,42.112.37.59,rapiddns
60b06860ed226a5c554ca010.wifimkt.bizflycloud.vn,103.148.57.196,alienvault
f993e5a-openvpn.prebuilt-app.bizflycloud.vn,103.109.43.10,rapiddns
anti-ddos-stagging.api.bizflycloud.vn,123.30.151.90,waybackarchive
6e81540-openvpn.prebuilt-app.bizflycloud.vn,14.225.27.249,rapiddns
