Domain,IP,Status
domain.cnht.vn,172.31.4.59,rapiddns
wiki.cnht.vn,123.30.151.100,rapiddns
git.cnht.vn,172.31.4.59,alienvault
ldap.cnht.vn,45.124.93.15,digitorus
ha.cnht.vn,123.30.151.100,digitorus
sentry.cnht.vn,45.124.93.15,digitorus
cas.cnht.vn,123.30.151.100,digitorus
smtp.cnht.vn,103.69.194.113,rapiddns
doc.cnht.vn,45.124.93.15,rapiddns
owncloud.cnht.vn,45.124.93.233,digitorus
vpn.cnht.vn,103.69.194.113,digitorus
gang.cnht.vn,45.124.93.15,rapiddns
le.cnht.vn,123.30.151.100,waybackarchive
log.cnht.vn,10.5.52.30,digitorus
trace.cnht.vn,123.30.151.100,rapiddns
dcrun.cnht.vn,103.69.193.218,alienvault
grafana.cnht.vn,14.225.10.3,alienvault
api.cnht.vn,103.69.194.231,rapiddns
cacti.cnht.vn,123.30.151.100,digitorus
halog.cnht.vn,103.69.195.237,leakix
ham.cnht.vn,123.30.151.100,alienvault
thongke.cnht.vn,123.30.151.100,rapiddns
obser2.cnht.vn,123.30.151.100,alienvault
conference.cnht.vn,222.255.27.21,rapiddns
graph.cnht.vn,123.30.151.100,alienvault
netstat.cnht.vn,192.168.6.199,alienvault
nagios2-ntl.cnht.vn,123.30.151.100,digitorus
nagios.cnht.vn,123.30.151.100,digitorus
wifi.cnht.vn,113.161.70.168,alienvault
obser.cnht.vn,123.30.151.100,alienvault
speedtest.cnht.vn,123.30.170.22,alienvault
central.cnht.vn,45.124.93.15,digitorus
svr.cnht.vn,172.31.4.59,rapiddns
registry.cnht.vn,45.124.93.15,digitorus
jenkin.cnht.vn,45.124.93.15,digitorus
monitor.cnht.vn,123.30.151.100,alienvault
speedtest-hcm.cnht.vn,123.30.215.37,leakix
mail.cnht.vn,103.107.181.48,rapiddns
gitlab.cnht.vn,103.69.194.113,digitorus
ticket.cnht.vn,45.124.93.15,digitorus
