Domain,IP,Status
gi1.cnnd.vn,123.30.151.84,waybackarchive
mic30.cnnd.vn,222.255.27.66,waybackarchive
v1.cnnd.vn,222.255.27.66,waybackarchive
a32.cnnd.vn,222.255.27.66,waybackarchive
mediaunit.cnnd.vn,222.255.27.66,alienvault
soha.cnnd.vn,222.255.27.66,rapiddns
a25.cnnd.vn,222.255.27.66,waybackarchive
g3api.cnnd.vn,123.30.151.84,waybackarchive
seomgr.cnnd.vn,123.30.151.84,waybackarchive
php24.cnnd.vn,222.255.27.66,waybackarchive
v79.cnnd.vn,222.255.27.66,waybackarchive
b21.cnnd.vn,222.255.27.66,alienvault
wechoices.cnnd.vn,123.30.151.84,waybackarchive
a6.cnnd.vn,222.255.27.66,waybackarchive
ttsub.cnnd.vn,222.255.27.66,waybackarchive
v91.cnnd.vn,222.255.27.66,waybackarchive
m.ws3.cnnd.vn,14.225.10.61,alienvault
imsgamek.cnnd.vn,222.255.27.222,rapiddns
celo6.cnnd.vn,222.255.27.66,waybackarchive
mic22.cnnd.vn,222.255.27.66,waybackarchive
a36.cnnd.vn,222.255.27.66,waybackarchive
montrend.cnnd.vn,172.31.4.56,waybackarchive
bvhttdls.cnnd.vn,123.30.151.84,rapiddns
m.ws1.cnnd.vn,123.30.151.101,alienvault
ids4nld1.cnnd.vn,123.30.151.84,waybackarchive
vietnammois.cnnd.vn,14.225.10.20,waybackarchive
dtcm.cnnd.vn,222.255.27.66,alienvault
nlds1.cnnd.vn,222.255.27.66,waybackarchive
vnetd.cnnd.vn,222.255.27.66,waybackarchive
sig2.cnnd.vn,222.255.27.66,waybackarchive
kenh14s1.cnnd.vn,222.255.27.66,alienvault
chamnhuanviral.cnnd.vn,123.31.11.6,leakix
v10.cnnd.vn,222.255.27.66,waybackarchive
danviets.cnnd.vn,222.255.27.66,alienvault
mic35.cnnd.vn,172.31.4.56,waybackarchive
s7.cnnd.vn,222.255.27.66,waybackarchive
h54.cnnd.vn,222.255.27.66,waybackarchive
a16.cnnd.vn,222.255.27.66,waybackarchive
mms2af.cnnd.vn,222.255.27.66,waybackarchive
v95.cnnd.vn,222.255.27.66,waybackarchive
a22.cnnd.vn,222.255.27.66,waybackarchive
unstructuredapi.cnnd.vn,123.30.151.84,rapiddns
cloud.cnnd.vn,172.31.4.56,rapiddns
h64.cnnd.vn,222.255.27.66,waybackarchive
ltusapi.cnnd.vn,123.30.151.84,waybackarchive
kenh14s.cnnd.vn,14.225.10.20,alienvault
imscafef.cnnd.vn,123.30.151.84,waybackarchive
kenh14svideo.cnnd.vn,222.255.27.66,waybackarchive
lo19.cnnd.vn,222.255.27.66,waybackarchive
a44.cnnd.vn,222.255.27.66,waybackarchive
v49.cnnd.vn,222.255.27.66,waybackarchive
eth.cnnd.vn,14.225.10.17,waybackarchive
mic1.cnnd.vn,222.255.27.66,waybackarchive
botcafef.cnnd.vn,222.255.27.66,waybackarchive
ids2beta.cnnd.vn,123.30.151.121,waybackarchive
v30.cnnd.vn,222.255.27.66,waybackarchive
v63.cnnd.vn,222.255.27.66,waybackarchive
prlayout.cnnd.vn,222.255.27.66,rapiddns
b5.cnnd.vn,123.30.151.84,waybackarchive
a15.cnnd.vn,222.255.27.66,waybackarchive
v20.cnnd.vn,222.255.27.66,rapiddns
h41.cnnd.vn,222.255.27.66,waybackarchive
lotus-beta.cnnd.vn,123.30.151.115,waybackarchive
ccd1.cnnd.vn,222.255.27.66,rapiddns
demoims2.cnnd.vn,222.255.27.66,waybackarchive
ids3.cnnd.vn,123.30.151.84,waybackarchive
imsauto.cnnd.vn,222.255.27.222,waybackarchive
landing.cnnd.vn,222.255.27.66,waybackarchive
imsbiz.cnnd.vn,123.30.151.84,rapiddns
h8.cnnd.vn,123.30.151.84,waybackarchive
ims2danviet.cnnd.vn,222.255.27.66,rapiddns
btvk14.cnnd.vn,123.30.151.82,waybackarchive
v25.cnnd.vn,222.255.27.66,waybackarchive
logg4u.cnnd.vn,123.30.151.84,alienvault
a14.cnnd.vn,222.255.27.66,waybackarchive
dtmcm.cnnd.vn,222.255.27.66,alienvault
b13.cnnd.vn,222.255.27.66,waybackarchive
a38.cnnd.vn,222.255.27.66,waybackarchive
nc97.cnnd.vn,123.30.151.84,waybackarchive
v35.cnnd.vn,222.255.27.66,waybackarchive
vtvapi3.cnnd.vn,123.30.151.84,alienvault
b4.cnnd.vn,123.30.151.84,waybackarchive
ids4nld3.cnnd.vn,123.30.151.84,waybackarchive
v21.cnnd.vn,222.255.27.66,waybackarchive
a4.cnnd.vn,222.255.27.66,waybackarchive
php39.cnnd.vn,222.255.27.66,waybackarchive
a30.cnnd.vn,222.255.27.66,waybackarchive
afamilys1.cnnd.vn,123.30.151.84,rapiddns
v146.cnnd.vn,123.30.151.84,waybackarchive
emb1.cnnd.vn,123.30.151.84,rapiddns
ims3gamek.cnnd.vn,123.30.151.84,waybackarchive
a20.cnnd.vn,222.255.27.66,waybackarchive
imsgenk.cnnd.vn,222.255.27.222,waybackarchive
lo4.cnnd.vn,222.255.27.66,waybackarchive
nc66.cnnd.vn,123.30.151.84,waybackarchive
v23.cnnd.vn,222.255.27.66,waybackarchive
ws1.cnnd.vn,123.30.151.101,waybackarchive
utils1.cnnd.vn,123.30.151.84,alienvault
a33.cnnd.vn,222.255.27.66,waybackarchive
