Domain,IP,Status
dev1post.linkhay.com,123.30.151.81,leakix
dev2touch.linkhay.com,14.225.10.11,alienvault
upload.linkhay.com,14.225.10.11,alienvault
betapost.linkhay.com,123.30.151.81,alienvault
linkhay.com,123.30.151.97,crtsh
embed.linkhay.com,222.255.27.104,alienvault
api.linkhay.com,123.30.151.81,alienvault
alphaevt.linkhay.com,123.30.151.81,leakix
beta.linkhay.com,123.30.151.81,leakix
touch.linkhay.com,222.255.27.104,alienvault
admin.linkhay.com,123.30.151.81,alienvault
alpha.linkhay.com,14.225.10.11,leakix
betaevt.linkhay.com,123.30.151.81,leakix
ul.linkhay.com,151.101.65.195,alienvault
dev.linkhay.com,14.225.10.11,alienvault
www.linkhay.com,123.30.151.97,alienvault
post.linkhay.com,222.255.27.97,alienvault
api.dev.linkhay.com,123.30.151.81,alienvault
alphatouch.linkhay.com,14.225.10.11,alienvault
dev1evt.linkhay.com,123.30.151.81,leakix
betatouch.linkhay.com,123.30.151.81,leakix
dev1touch.linkhay.com,123.30.151.81,leakix
dev1.linkhay.com,123.30.151.81,leakix
embed2.linkhay.com,123.30.151.81,alienvault
alphapost.linkhay.com,123.30.151.81,leakix
