Domain,IP,Status
vcplayer.mediacdn.vn,14.225.10.21,alienvault
drawio.mediacdn.vn,103.69.195.230,alienvault
staging.mediacdn.vn,10.5.20.166,alienvault
test-nextcloud.mediacdn.vn,103.92.35.130,crtsh
nb8.mediacdn.vn,222.255.27.110,alienvault
solieu5.mediacdn.vn,123.30.151.78,waybackarchive
upload2.mediacdn.vn,123.30.151.122,alienvault
onlyoffice.mediacdn.vn,103.69.195.230,alienvault
install.mediacdn.vn,222.255.27.173,alienvault
vscc-hosting.mediacdn.vn,123.30.151.76,alienvault
bbb.mediacdn.vn,103.69.195.230,alienvault
solieu3.mediacdn.vn,123.30.151.78,alienvault
mfs-staging.mediacdn.vn,123.30.151.122,alienvault
mp4.mediacdn.vn,123.30.242.26,waybackarchive
