Domain,IP,Status
dev.pega.vn,222.255.27.104,waybackarchive
reader.pega.vn,222.255.27.179,alienvault
ids.pega.vn,222.255.27.104,waybackarchive
apps.pega.vn,222.255.27.104,waybackarchive
m.pega.vn,222.255.27.104,waybackarchive
ul.pega.vn,151.101.1.195,alienvault
manager.pega.vn,123.30.151.81,alienvault
www.pega.vn,123.30.53.12,alienvault
counter.pega.vn,222.255.27.104,waybackarchive
dev.manager.pega.vn,123.30.151.81,alienvault
beta.manager.pega.vn,14.225.10.11,alienvault
live.pega.vn,222.255.27.104,waybackarchive
sb.pega.vn,222.255.27.179,waybackarchive
cms.pega.vn,222.255.27.104,waybackarchive
social.pega.vn,123.30.151.81,alienvault
app.pega.vn,14.225.10.11,alienvault
