Domain,IP,Status
developer.shg.vn,103.69.192.88,waybackarchive
dl.shg.vn,103.69.192.88,waybackarchive
vnlistpss.shg.vn,104.250.53.191,alienvault
auth.shg.vn,103.69.192.88,waybackarchive
eventx90.shg.vn,103.69.192.88,waybackarchive
sg396web.shg.vn,103.69.192.47,alienvault
sg188.shg.vn,103.56.159.64,alienvault
stats.shg.vn,103.69.192.88,rapiddns
dev.sohacare.shg.vn,103.69.192.88,leakix
irc.shg.vn,103.69.192.88,rapiddns
fbgift.shg.vn,103.69.192.88,alienvault
www.shg.vn,45.32.109.135,waybackarchive
socvui.shg.vn,103.69.192.88,waybackarchive
plflogs.shg.vn,103.69.192.88,waybackarchive
sg299login.shg.vn,123.31.11.169,leakix
chatv2.shg.vn,103.56.159.16,rapiddns
shg.vn,103.69.192.88,digitorus
track.shg.vn,103.56.159.77,rapiddns
devmqtt.shg.vn,103.69.192.88,waybackarchive
sg316.shg.vn,103.56.159.225,rapiddns
sg220pay.shg.vn,103.69.192.88,rapiddns
idv.shg.vn,103.69.192.88,waybackarchive
mqtt.shg.vn,103.69.192.88,waybackarchive
push.shg.vn,104.250.53.191,alienvault
sg293game.shg.vn,103.56.159.174,rapiddns
logs.shg.vn,103.56.159.216,waybackarchive
logtrack.shg.vn,103.56.159.196,waybackarchive
sg318login.shg.vn,123.31.11.251,alienvault
duc-soap.dev.shg.vn,103.69.192.103,leakix
huy-test1.dev.shg.vn,103.69.192.103,leakix
dev.shg.vn,103.69.192.103,leakix
dev.mqtt.shg.vn,103.69.192.88,waybackarchive
beta.developer.shg.vn,103.69.192.88,waybackarchive
sg404gm.shg.vn,103.69.192.190,leakix
tool.shg.vn,103.69.192.88,waybackarchive
testtrack.shg.vn,103.56.159.196,waybackarchive
sg362login.shg.vn,103.69.192.205,alienvault
sg318game.shg.vn,121.36.5.44,crtsh
tool2dev.shg.vn,103.69.192.88,waybackarchive
tool2.shg.vn,103.69.192.88,waybackarchive
cdntool.shg.vn,103.56.159.117,waybackarchive
