Domain,IP,Status
beta.soap.soha.vn,103.69.192.88,leakix
adsgame.soha.vn,222.255.27.167,anubis
tratu.soha.vn,222.255.27.180,rapiddns
mail.game.soha.vn,172.217.24.243,rapiddns
s1.soha.vn,14.225.10.12,anubis
alpha.soap.soha.vn,103.69.192.88,alienvault
thucphamsach.soha.vn,222.255.27.26,anubis
worldcup.soha.vn,222.255.27.179,anubis
s.soha.vn,222.255.27.195,alienvault
www.soha.vn,14.225.10.12,rapiddns
s2.soha.vn,123.30.151.84,anubis
nap.soha.vn,103.69.192.88,leakix
www.soap.soha.vn,123.30.151.83,leakix
napch.soha.vn,103.69.192.88,alienvault
ul.soha.vn,151.101.65.195,leakix
soha.vn,123.30.151.92,crtsh
soap.soha.vn,123.30.151.83,leakix
hoithaodinhduong.soha.vn,222.255.27.26,anubis
dev.soap.soha.vn,103.69.192.88,alienvault
m.soha.vn,123.30.151.92,anubis
mail.soha.vn,172.217.24.243,rapiddns
