Domain,IP,Status
sg368cdn.sohagame.vn,123.30.177.119,alienvault
beta-taikhoan.sohagame.vn,103.56.159.221,alienvault
forum.sohagame.vn,172.16.11.11,alienvault
auth.sohagame.vn,123.30.151.83,rapiddns
nap.ngaokiem.sohagame.vn,172.16.11.11,digitorus
nap.sohagame.vn,123.30.151.83,digitorus
sg376cdn.sohagame.vn,123.30.177.125,alienvault
store.sohagame.vn,222.255.27.173,alienvault
sg1testvccdn.sohagame.vn,123.30.242.10,leakix
smtp.sohagame.vn,103.69.195.160,rapiddns
volam.sohagame.vn,172.16.11.11,rapiddns
