Domain,IP,Status
kb.vccsec.com,123.31.11.216,waybackarchive
pm.vccsec.com,123.31.11.216,waybackarchive
mb.vccsec.com,123.31.11.196,waybackarchive
ctx.vccsec.com,123.31.11.214,waybackarchive
blog.vccsec.com,76.76.21.123,waybackarchive
thp.vccsec.com,123.31.11.214,waybackarchive
wg.vccsec.com,123.31.11.155,waybackarchive
hs.vccsec.com,172.67.128.130,alienvault
sir.vccsec.com,123.31.11.20,waybackarchive
soc.vccsec.com,103.69.194.47,waybackarchive
ch1nhpd.vccsec.com,185.199.108.153,waybackarchive
dash.vccsec.com,104.21.1.42,alienvault
wz.vccsec.com,103.69.194.228,waybackarchive
va.vccsec.com,45.124.93.58,waybackarchive
