Domain,IP,Status
static8.zamba.vn,45.124.92.35,alienvault
static6.zamba.vn,45.124.92.35,rapiddns
static12.zamba.vn,45.124.92.35,rapiddns
upload.zamba.vn,45.124.92.28,alienvault
apichat3.zamba.vn,45.124.92.35,alienvault
static18.zamba.vn,45.124.92.35,alienvault
docker.zamba.vn,103.69.195.126,rapiddns
f.zamba.vn,103.69.195.33,alienvault
static3.zamba.vn,45.124.92.35,alienvault
static15.zamba.vn,45.124.92.35,rapiddns
p.zamba.vn,103.69.195.126,rapiddns
rongbay.zamba.vn,123.30.242.48,alienvault
static2.zamba.vn,45.124.92.35,alienvault
static10.zamba.vn,45.124.92.35,rapiddns
apichat.zamba.vn,45.124.92.35,alienvault
